il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Çekmeköy,HAMİDİYE,Huzur Cami Bahçesi,29.184,41.02891
İSTANBUL,Çekmeköy,HAMİDİYE,Güç Kardeşler Anadolu Lisesi,29.18847,41.03048
İSTANBUL,Çekmeköy,HAMİDİYE,Mimar Sinan İmam Hatip Ortaokulu,29.18152,41.02505
İSTANBUL,Çekmeköy,HAMİDİYE,"Nesrin Uçmaklıoğlu Mesleki ve Teknik Anadolu 
Lisesi",29.18334,41.02869
İSTANBUL,Çekmeköy,HAMİDİYE,Anıl Parkı,29.18777,41.02435
İSTANBUL,Çekmeköy,HAMİDİYE,Hamidiye Parkı,29.18282,41.02537
İSTANBUL,Çekmeköy,HAMİDİYE,Lale Parkı,29.18626,41.02372
İSTANBUL,Çekmeköy,HAMİDİYE,Mecidiye Parkı,29.18983,41.02644
İSTANBUL,Çekmeköy,HAMİDİYE,Özgecan Aslan Parkı,29.18834,41.03004
İSTANBUL,Çekmeköy,HAMİDİYE,Şehit Emniyet Müdürü Vefa Karakurdu Parkı,29.18375,41.02936
İSTANBUL,Çekmeköy,HAMİDİYE,Şehit Şahinbey Parkı,29.19323,41.02285
İSTANBUL,Çekmeköy,HAMİDİYE,Eski Ulus Pazarı,29.18561,41.02467
İSTANBUL,Çekmeköy,HAMİDİYE,"Fatma Talip Kahraman Kız Anadolu İmam Hatip 
Lisesi",29.18716,41.03049
İSTANBUL,Çekmeköy,HAMİDİYE,Şehit Üsteğmen Arif Kalafat Doğa Parkı,29.19405,41.02741
