il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Çekmeköy,KİRAZLIDERE,Gümüş Parkı 2,29.21415,41.01792
İSTANBUL,Çekmeköy,KİRAZLIDERE,Çekmeköy TOKİ Çok Programlı Anadolu Lisesi,29.21672,41.01799
İSTANBUL,Çekmeköy,KİRAZLIDERE,Mehmetçik Anadolu Lisesi,29.20913,41.01487
İSTANBUL,Çekmeköy,KİRAZLIDERE,Öğretmen Melahat Hüdai Gürbüz İlkokulu,29.21837,41.01943
İSTANBUL,Çekmeköy,KİRAZLIDERE,Final İlköğretim ve Ortaokulu,29.22136,41.02282
İSTANBUL,Çekmeköy,KİRAZLIDERE,Cumhuriyet Parkı,29.22123,41.02105
İSTANBUL,Çekmeköy,KİRAZLIDERE,Fevzi Çakmak Parkı,29.21684,41.01997
İSTANBUL,Çekmeköy,KİRAZLIDERE,Gümüş Parkı,29.21413,41.01827
İSTANBUL,Çekmeköy,KİRAZLIDERE,Karaca Parkı,29.21809,41.01976
İSTANBUL,Çekmeköy,KİRAZLIDERE,Kirazlıdere Parkı,29.21601,41.01884
İSTANBUL,Çekmeköy,KİRAZLIDERE,Muhsin Yazıcıoğlu Parkı,29.21846,41.02161
İSTANBUL,Çekmeköy,KİRAZLIDERE,Tayfun Parkı,29.21997,41.02198
İSTANBUL,Çekmeköy,KİRAZLIDERE,Kirazlıdere Cem Evi,29.21709,41.01812
