il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Çekmeköy,MEHMET AKİF,Çekmeköy Anadolu İmam Hatip Lisesi,29.18492,41.02114
İSTANBUL,Çekmeköy,MEHMET AKİF,Kemerdere İsmihan Ismet Suzer İlkokulu,29.18585,41.01857
İSTANBUL,Çekmeköy,MEHMET AKİF,Ertuğrul Gazi Parkı,29.18723,41.0215
İSTANBUL,Çekmeköy,MEHMET AKİF,İbni Sina Parkı,29.18754,41.01655
İSTANBUL,Çekmeköy,MEHMET AKİF,Keskin Parkı,29.18241,41.02197
İSTANBUL,Çekmeköy,MEHMET AKİF,Mehmet Durul Parkı,29.18562,41.02089
İSTANBUL,Çekmeköy,MEHMET AKİF,Mevlana Parkı,29.18505,41.01881
İSTANBUL,Çekmeköy,MEHMET AKİF,Çekmeköy 1 Nolu Aile Sağlık Merkezi Bahçesi,29.18763,41.01539
İSTANBUL,Çekmeköy,MEHMET AKİF,M. Akif Mahallesi Necip F.K. Caddesi Parkı,29.18428,41.0Çekmeköy
İSTANBUL,Çekmeköy,MEHMET AKİF,Çekmeköy Cem Evi,29.18097,41.0253
İSTANBUL,Çekmeköy,MEHMET AKİF,Kemerdere Parkı,29.17851,41.02363
