il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Çekmeköy,MERKEZ,Ensar Cami Bahçesi,29.1726,41.03269
İSTANBUL,Çekmeköy,MERKEZ,Hacı Hediye Ali Rıza Elçiçek Camii Bahçesi,29.18031,41.04049
İSTANBUL,Çekmeköy,MERKEZ,Sabiha Hamdi Türkay Okulu Yanı Belediye Halı Saha,29.17552,41.0379
İSTANBUL,Çekmeköy,MERKEZ,Taşlıca Cami Bahçesi,29.1777,41.04545
İSTANBUL,Çekmeköy,MERKEZ,Öğretmen Semiha Yıldırım İlkokulu,29.17678,41.04122
İSTANBUL,Çekmeköy,MERKEZ,Özden Cengiz Anadolu Lisesi,29.1584,41.04021
İSTANBUL,Çekmeköy,MERKEZ,Ayazma Caddesi Parkı,29.17932,41.0366
İSTANBUL,Çekmeköy,MERKEZ,Kent Parkı,29.16975,41.03249
İSTANBUL,Çekmeköy,MERKEZ,Soğukdere Parkı,29.17021,41.0372
İSTANBUL,Çekmeköy,MERKEZ,Şehit Binbaşı Ömer Aktuğ Parkı,29.17562,41.03467
İSTANBUL,Çekmeköy,MERKEZ,Şehit Er Emrah Töredi Parkı,29.16395,41.03578
İSTANBUL,Çekmeköy,MERKEZ,Merkez Mahallesi Ormanı,29.15392,41.03989
İSTANBUL,Çekmeköy,MERKEZ,Merkez Mahallesi Recep Yazıcıoğlu Caddesi Yeşil Alan,29.15317,41.04718
İSTANBUL,Çekmeköy,MERKEZ,Nükte Sözen Ortaokulu,29.16105,41.03678
İSTANBUL,Çekmeköy,MERKEZ,Küçükkoru Parkı,29.17921,41.04018
