il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Çekmeköy,SULTANÇİFTLİĞİ,Ekşioğlu Vakıf Arazisi,29.2189,41.03102
İSTANBUL,Çekmeköy,SULTANÇİFTLİĞİ,Sultan Çiftliği İlkokulu,29.22399,41.03258
İSTANBUL,Çekmeköy,SULTANÇİFTLİĞİ,Doğu Parkı,29.2Maltepe,41.03345
İSTANBUL,Çekmeköy,SULTANÇİFTLİĞİ,Durak Sokak Parkı,29.22091,41.03199
İSTANBUL,Çekmeköy,SULTANÇİFTLİĞİ,Dutluk Parkı,29.22429,41.03188
İSTANBUL,Çekmeköy,SULTANÇİFTLİĞİ,Hale Parkı,29.221,41.03484
İSTANBUL,Çekmeköy,SULTANÇİFTLİĞİ,Ihlamur Parkı,29.22564,41.02921
İSTANBUL,Çekmeköy,SULTANÇİFTLİĞİ,Orman Parkı,29.22377,41.0305
İSTANBUL,Çekmeköy,SULTANÇİFTLİĞİ,Güngören Lunaparkı,29.2224,41.02477
İSTANBUL,Çekmeköy,SULTANÇİFTLİĞİ,Yusuf Cebir Merkez Cami Bahçesi,29.22841,41.03073
