il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Çekmeköy,ÖMERLİ,Aktaş Cami Bahçesi,29.33269,41.08506
İSTANBUL,Çekmeköy,ÖMERLİ,Dr. A. Erdal Yılmaz İlköğretim Okulu,29.33208,41.07803
İSTANBUL,Çekmeköy,ÖMERLİ,"Ömerli Hikmet Tevfik Ataman Çok Programlı
Anadolu Lisesi",29.33459,41.0759
İSTANBUL,Çekmeköy,ÖMERLİ,Özel Alev Okulları,29.32255,41.08977
İSTANBUL,Çekmeköy,ÖMERLİ,Akasya Parkı,29.33593,41.07621
İSTANBUL,Çekmeköy,ÖMERLİ,Cumhuriyet Parkı,29.32949,41.07689
İSTANBUL,Çekmeköy,ÖMERLİ,Leylak Parkı,29.32874,41.07909
İSTANBUL,Çekmeköy,ÖMERLİ,Orman Gülü Parkı,29.34587,41.09548
İSTANBUL,Çekmeköy,ÖMERLİ,Akbeton Ömerli Tesis Karşısı Parkı,29.32885,41.08531
İSTANBUL,Çekmeköy,ÖMERLİ,Ömerli Stadı,29.32652,41.0791
