il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Ümraniye ,ALTINŞEHİR,Kumru Parkı,29.14039,41.01137
İSTANBUL,Ümraniye ,ALTINŞEHİR,Lale Parkı,29.1463,41.0126
İSTANBUL,Ümraniye ,ALTINŞEHİR,Paşa Çocuk Parkı,29.14595,41.00706
İSTANBUL,Ümraniye ,ALTINŞEHİR,Altınşehir 6,29.14658,41.00902
İSTANBUL,Ümraniye ,ALTINŞEHİR,Akabe Sitesi Bahçesi,29.14519,41.00969
İSTANBUL,Ümraniye ,ALTINŞEHİR,Emine Koculu İköğretim Okulu Bahçesi,29.1473,41.00985
İSTANBUL,Ümraniye ,ALTINŞEHİR,Ihlamur Sitesi Bahçesi,29.14656,41.01023
İSTANBUL,Ümraniye ,ALTINŞEHİR,Aliya İzzetbegoviç Kültür Merkezi Bahçesi,29.14331,41.01049
İSTANBUL,Ümraniye ,ALTINŞEHİR,Hasan Özaydın İlköğretim Okulu Bahçesi,29.14374,41.01062
İSTANBUL,Ümraniye ,ALTINŞEHİR,Altınşehir 1,29.13765,41.01246
İSTANBUL,Ümraniye ,ALTINŞEHİR,Altınşehir 4,29.14335,41.01273
İSTANBUL,Ümraniye ,ALTINŞEHİR,Altınşehir 2,29.13874,41.01316
