il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Ümraniye ,ATAKENT,Duru Parkı,29.10342,41.0124
İSTANBUL,Ümraniye ,ATAKENT,Misak-ı Milli Parkı,29.10711,41.01923
İSTANBUL,Ümraniye ,ATAKENT,Akşemsettin Parkı,29.10245,41.01197
İSTANBUL,Ümraniye ,ATAKENT,Mimar Sinan Parkı,29.10118,41.01025
İSTANBUL,Ümraniye ,ATAKENT,Dadaloğlu Parkı,29.10903,41.02269
İSTANBUL,Ümraniye ,ATAKENT,Arif Nihat Asya Parkı,29.10756,41.01797
İSTANBUL,Ümraniye ,ATAKENT,Buhara Parkı,29.10919,41.01727
İSTANBUL,Ümraniye ,ATAKENT,Endülüs Parkı,29.10897,41.02143
İSTANBUL,Ümraniye ,ATAKENT,Zigana Parkı,29.11294,41.01969
İSTANBUL,Ümraniye ,ATAKENT,Özkonak Parkı,29.10736,41.01588
İSTANBUL,Ümraniye ,ATAKENT,Foynisa Parkı,29.10523,41.0125
İSTANBUL,Ümraniye ,ATAKENT,Pazarcık Parkı,29.11322,41.0Sancaktepe
İSTANBUL,Ümraniye ,ATAKENT,Kayı Parkı,29.10882,41.01953
İSTANBUL,Ümraniye ,ATAKENT,Şehitlik Parkı,29.1048,41.01037
İSTANBUL,Ümraniye ,ATAKENT,Sedir Parkı,29.10196,41.01125
İSTANBUL,Ümraniye ,ATAKENT,Toygar Sokak Parkı,29.10981,41.01627
İSTANBUL,Ümraniye ,ATAKENT,Necmettin Öztürk Parkı,29.10484,41.01698
İSTANBUL,Ümraniye ,ATAKENT,Ertuğrul Gazi Parkı,29.10625,41.01798
İSTANBUL,Ümraniye ,ATAKENT,Razgrad Parkı,29.10642,41.0186
İSTANBUL,Ümraniye ,ATAKENT,Muhtar Seyfi Semiz Parkı,29.10237,41.0168
