il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Ümraniye ,ELMALIKENT,Bosna Parkı,29.09338,41.04336
İSTANBUL,Ümraniye ,ELMALIKENT,Şehitler Parkı,29.09603,41.03431
İSTANBUL,Ümraniye ,ELMALIKENT,Genç Osman Parkı,29.09313,41.03195
İSTANBUL,Ümraniye ,ELMALIKENT,Elmalıkent Parkı,29.09878,41.04278
İSTANBUL,Ümraniye ,ELMALIKENT,Manolya Parkı,29.09363,41.03474
İSTANBUL,Ümraniye ,ELMALIKENT,29 Mayıs Üniversitesi Bahçesi,29.09832,41.03271
İSTANBUL,Ümraniye ,ELMALIKENT,Bisan Sitesi Parkı,29.09555,41.03193
İSTANBUL,Ümraniye ,ELMALIKENT,Şehit Köksal Karmil İmam Hatip Lisesi Bahçesi,29.09828,41.03824
İSTANBUL,Ümraniye ,ELMALIKENT,Zehra Asım Ülker Anadolu Lisesi Bahçesi,29.09298,41.04093
İSTANBUL,Ümraniye ,ELMALIKENT,Zehra Ülker İlköğretim Okulu Bahçesi,29.09414,41.04349
İSTANBUL,Ümraniye ,ELMALIKENT,Sıdıka Doğruöz Özel Eğitim Merkezi Bahçesi,29.09465,41.044
