il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Ümraniye ,ESENEVLER,Lokman Hekim Parkı,29.09181,41.0113
İSTANBUL,Ümraniye ,ESENEVLER,Safiye Akçasoy Parkı,29.08903,41.01344
İSTANBUL,Ümraniye ,ESENEVLER,Ayvacık Parkı,29.08945,41.01155
İSTANBUL,Ümraniye ,ESENEVLER,Esenevler 1,29.09237,41.01069
İSTANBUL,Ümraniye ,ESENEVLER,Hasan Tahsin Ortaokulu Bahçesi,29.09453,41.01313
İSTANBUL,Ümraniye ,ESENEVLER,Eryuvam Parkı,29.08822,41.0Kartal
İSTANBUL,Ümraniye ,ESENEVLER,Yunus Emre Ortaokulu Bahçesi,29.09249,41.01492
İSTANBUL,Ümraniye ,ESENEVLER,N. Kemal Anadolu Imam Hatip Lisesi Bahçesi,29.09239,41.01563
İSTANBUL,Ümraniye ,ESENEVLER,Esen Evler Muhtarlığı Bahçesi,29.09243,41.01599
İSTANBUL,Ümraniye ,ESENEVLER,Eyup Oğlu Koleji Bahçesi,29.08792,41.01755
