il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Ümraniye ,MEHMET AKİF,Hicret Sokak Okulu,29.13917,41.00518
İSTANBUL,Ümraniye ,MEHMET AKİF,TEV Zahide Zehra Garring Ortaokulu,29.13348,41.00762
İSTANBUL,Ümraniye ,MEHMET AKİF,Aşık Ümmani Can Parkı,29.13427,41.01093
İSTANBUL,Ümraniye ,MEHMET AKİF,Tezcan Caddesi Parkı,29.14017,41.00692
İSTANBUL,Ümraniye ,MEHMET AKİF,Site Parkı,29.14386,41.00507
İSTANBUL,Ümraniye ,MEHMET AKİF,Aşık Ümman Parkı,29.13408,41.0Adalar
İSTANBUL,Ümraniye ,MEHMET AKİF,Tev Uğuz Tarık Demiral Mesleki Teknik Anadolu Lisesi Bahçesi,29.13928,41.00477
İSTANBUL,Ümraniye ,MEHMET AKİF,Mehmet Akif İlköğretim Okulu Bahçesi,29.13914,41.0052
İSTANBUL,Ümraniye ,MEHMET AKİF,Mehmet Akif 8,29.13659,41.00641
İSTANBUL,Ümraniye ,MEHMET AKİF,Piri Reis Parkı,29.14017,41.00691
İSTANBUL,Ümraniye ,MEHMET AKİF,Yeni Şehir Bilfen Bahçesi,29.13848,41.007
İSTANBUL,Ümraniye ,MEHMET AKİF,Tev Zahide Garring İlköğretim Okulu Bahçesi,29.13358,41.00764
İSTANBUL,Ümraniye ,MEHMET AKİF,Mehmet Akif Ersoy Parkı,29.1402,41.00796
İSTANBUL,Ümraniye ,MEHMET AKİF,Mehmet Akif 2,29.13284,41.00797
İSTANBUL,Ümraniye ,MEHMET AKİF,Mehmet Akif 9,29.13943,41.00836
İSTANBUL,Ümraniye ,MEHMET AKİF,Mehmet Akif 3,29.13591,41.00567
