il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Ümraniye ,NAMIK KEMAL,Dr. Sadık Ahmet Parkı,29.0919,41.02345
İSTANBUL,Ümraniye ,NAMIK KEMAL,Barış Parkı,29.08868,41.02343
İSTANBUL,Ümraniye ,NAMIK KEMAL,Şehit Ünal Kalafat Parkı,29.08389,41.02245
İSTANBUL,Ümraniye ,NAMIK KEMAL,Rumeli Parkı,29.09408,41.01741
İSTANBUL,Ümraniye ,NAMIK KEMAL,Namık Kemal 1,29.09492,41.01829
İSTANBUL,Ümraniye ,NAMIK KEMAL,Merhum Belediye Başkanı Aslan Yıldırım Parkı,29.09286,41.01931
İSTANBUL,Ümraniye ,NAMIK KEMAL,Namık Kemal 4,29.0904,41.02047
İSTANBUL,Ümraniye ,NAMIK KEMAL,Yıldıray Parkı,29.08843,41.02161
İSTANBUL,Ümraniye ,NAMIK KEMAL,Namık Kemal 2,29.08974,41.02178
İSTANBUL,Ümraniye ,NAMIK KEMAL,Ümranıye İlköğretim Okulu Bahçesi,29.08914,41.02242
