il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Ümraniye ,NECİP FAZIL,Atapark,29.16734,41.01658
İSTANBUL,Ümraniye ,NECİP FAZIL,Asude Parkı,29.1714,41.02068
İSTANBUL,Ümraniye ,NECİP FAZIL,Adil Amca Parkı,29.17068,41.01672
İSTANBUL,Ümraniye ,NECİP FAZIL,Ümraniye Belediyesi Çoçuk Trafik Eğitim Parkı,29.Kağıthane8,41.01737
İSTANBUL,Ümraniye ,NECİP FAZIL,Merhum Behçet Köseoğlu Parkı,29.17762,41.01804
İSTANBUL,Ümraniye ,NECİP FAZIL,Yavuz Selim Cami Bahçesi,29.16787,41.01438
İSTANBUL,Ümraniye ,NECİP FAZIL,Açık Spor Alanı,29.16686,41.01485
İSTANBUL,Ümraniye ,NECİP FAZIL,Metro Garden Avm,29.17945,41.01534
İSTANBUL,Ümraniye ,NECİP FAZIL,Selçuklu Parkı,29.16519,41.01527
İSTANBUL,Ümraniye ,NECİP FAZIL,Bayındır Parkı,29.17439,41.01672
İSTANBUL,Ümraniye ,NECİP FAZIL,Necip Fazıl 3,29.Zeytinburnu8,41.0192
İSTANBUL,Ümraniye ,NECİP FAZIL,Atatürk Mesleki Teknik Anadolu Lisesi Bahçesi,29.17487,41.01917
