il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Ümraniye ,ÇAKMAK,Sevgi 2 Parkı,29.12836,41.0155
İSTANBUL,Ümraniye ,ÇAKMAK,Uzun Ayna Parkı,29.12479,41.01484
İSTANBUL,Ümraniye ,ÇAKMAK,Ağaç Parkı,29.12879,41.01168
İSTANBUL,Ümraniye ,ÇAKMAK,Gül Parkı,29.12398,41.01216
İSTANBUL,Ümraniye ,ÇAKMAK,Defne Parkı,29.12483,41.01251
İSTANBUL,Ümraniye ,ÇAKMAK,Bülbül Parkı,29.12599,41.01288
İSTANBUL,Ümraniye ,ÇAKMAK,Hanedan Parkı,29.12326,41.01337
İSTANBUL,Ümraniye ,ÇAKMAK,Çakmak 1,29.12893,41.01506
İSTANBUL,Ümraniye ,ÇAKMAK,Çakmak 2,29.12773,41.01529
İSTANBUL,Ümraniye ,ÇAKMAK,Çakmak Çadır Alanı 2,29.12861,41.01671
İSTANBUL,Ümraniye ,ÇAKMAK,Çakmak Çadıralanı 1,29.1222,41.01664
İSTANBUL,Ümraniye ,ÇAKMAK,Ağaoğlu Mycity Bahçesi,29.12666,41.01776
