il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Ümraniye ,İSTİKLAL,Hacı Arif Şimşek Parkı,29.09853,41.01251
İSTANBUL,Ümraniye ,İSTİKLAL,Aşık Veysel Parkı,29.10285,41.02008
İSTANBUL,Ümraniye ,İSTİKLAL,Sevgi Parkı,29.10438,41.02177
İSTANBUL,Ümraniye ,İSTİKLAL,Nabı Avcı Lisesi Bahçesi,29.09666,41.01226
İSTANBUL,Ümraniye ,İSTİKLAL,Hamidiye Parkı,29.09833,41.01323
İSTANBUL,Ümraniye ,İSTİKLAL,M.Akıf Kültür Merkezi Bahçesi,29.10034,41.01495
İSTANBUL,Ümraniye ,İSTİKLAL,İstiklal 2,29.10318,41.01527
İSTANBUL,Ümraniye ,İSTİKLAL,Mahmut Karaca Asm Yanı,29.10006,41.01552
İSTANBUL,Ümraniye ,İSTİKLAL,S Lokman Oktay Ortaokulu Bahçesi,29.1012,41.01584
İSTANBUL,Ümraniye ,İSTİKLAL,İstiklal 3,29.10199,41.01798
İSTANBUL,Ümraniye ,İSTİKLAL,Ahmet Kılıc Arlsan İlköğretim Okulu Bahçesi,29.10281,41.02047
İSTANBUL,Ümraniye ,İSTİKLAL,75.Yıl Cumhurıyet Lisesi Bahçesi,29.104,41.02367
İSTANBUL,Ümraniye ,İSTİKLAL,Hanımeli Çarşısı,29.10018,41.02432
