il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Üsküdar,ACIBADEM,Erol Sabancı  Spastik Çocuk Hastanesi Bahçesi,29.05244,41.01061
İSTANBUL,Üsküdar,ACIBADEM,Posta İşletme Merkezi Bahçesi,29.04927,41.00902
İSTANBUL,Üsküdar,ACIBADEM,Türk Telekom Bölge Müdürlüğü Arka Bahçesi,29.04977,41.00642
İSTANBUL,Üsküdar,ACIBADEM,Menekşe Parkı,29.05196,41.01282
İSTANBUL,Üsküdar,ACIBADEM,Erdem Parkı,29.04928,41.00992
İSTANBUL,Üsküdar,ACIBADEM,Gülistan Parkı,29.04834,41.01047
İSTANBUL,Üsküdar,ACIBADEM,Acıbadem Muhtarlık Yanı Yeşil Alan,29.04859,41.00618
İSTANBUL,Üsküdar,ACIBADEM,Mihriban Suat Bedük İlkokulu Bahçesi,29.04999,41.00312
İSTANBUL,Üsküdar,ACIBADEM,Alpsancak Sitesi Bahçesi-Parkı,29.05731,41.01389
İSTANBUL,Üsküdar,ACIBADEM,Vali Evleri Parkı,29.05404,41.00545
İSTANBUL,Üsküdar,ACIBADEM,Çamlıca Kız Lisesi Bahçesi,29.04877,41.00807
