il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Üsküdar,ALTUNİZADE,Validebağ Korusu Öğretmenevi Girişi,29.04287,41.01541
İSTANBUL,Üsküdar,ALTUNİZADE,Aydın Demir Parkı,29.04256,41.0Esenler
İSTANBUL,Üsküdar,ALTUNİZADE,Gümüşyolu Parkı,29.03907,41.02451
İSTANBUL,Üsküdar,ALTUNİZADE,Huzur Parkı,29.03558,41.01876
İSTANBUL,Üsküdar,ALTUNİZADE,Altunizade Parkı,29.04846,41.01847
İSTANBUL,Üsküdar,ALTUNİZADE,Barış Manço Parkı,29.04487,41.01951
İSTANBUL,Üsküdar,ALTUNİZADE,F. Kerim Gökay Parkı,29.04507,41.02059
İSTANBUL,Üsküdar,ALTUNİZADE,Şehitler Parkı,29.05237,41.0Üsküdar
İSTANBUL,Üsküdar,ALTUNİZADE,"Türk Telekom Bahçesi (2 Ada, 77, 78 Parsel)",29.04294,41.02379
İSTANBUL,Üsküdar,ALTUNİZADE,75. Yıl Cumhuriyet Parkı,29.04505,41.01202
İSTANBUL,Üsküdar,ALTUNİZADE,Marmara Üniversitesi Bahçesi,29.03695,41.02037
İSTANBUL,Üsküdar,ALTUNİZADE,Haydarpaşa Lisesi Bahçesi,29.04663,41.01681
İSTANBUL,Üsküdar,ALTUNİZADE,Validebağ Koru Cami Bahçesi,29.04987,41.01348
