il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Üsküdar,BARBAROS,H. Emin Yıldırım Parkı,29.03574,41.01723
İSTANBUL,Üsküdar,BARBAROS,Bahar Parkı,29.03167,41.00869
İSTANBUL,Üsküdar,BARBAROS,Cumhuriyet Parkı,29.03243,41.01729
İSTANBUL,Üsküdar,BARBAROS,Fahri Erdoğmuş Parkı,29.03564,41.01487
İSTANBUL,Üsküdar,BARBAROS,Barbaros Parkı,29.03173,41.01454
İSTANBUL,Üsküdar,BARBAROS,Burhan Felek Köşkü Bahçesi,29.0389,41.0Şile
İSTANBUL,Üsküdar,BARBAROS,Çamlıbahçe Parkı,29.03456,41.01307
İSTANBUL,Üsküdar,BARBAROS,Erguvan Parkı,29.04083,41.01704
İSTANBUL,Üsküdar,BARBAROS,Gökyüzü Parkı,29.03272,41.00984
İSTANBUL,Üsküdar,BARBAROS,Karayolları Parkı,29.03207,41.0098
İSTANBUL,Üsküdar,BARBAROS,Sevgi Parkı,29.04073,41.01527
İSTANBUL,Üsküdar,BARBAROS,Şehit Muhammed Durra Parkı,29.03623,41.01202
İSTANBUL,Üsküdar,BARBAROS,Temel Gündoğdu Parkı,29.04196,41.0151
İSTANBUL,Üsküdar,BARBAROS,Burhan Felek Atletizm Pisti,29.03088,41.01389
İSTANBUL,Üsküdar,BARBAROS,Barbaros Açık Oto Pazarı,29.02785,41.01345
