il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Üsküdar,BULGURLU,Çamlık Parkı,29.07291,41.01925
İSTANBUL,Üsküdar,BULGURLU,Turgut Reis Parkı,29.08606,41.01615
İSTANBUL,Üsküdar,BULGURLU,Ali İhsan Gül Parkı,29.084,41.01642
İSTANBUL,Üsküdar,BULGURLU,Dostluk Parkı,29.08075,41.01636
İSTANBUL,Üsküdar,BULGURLU,Mimoza Parkı,29.076,41.01512
İSTANBUL,Üsküdar,BULGURLU,İzzettin Bey Parkı,29.0804,41.02152
İSTANBUL,Üsküdar,BULGURLU,Nezih Uzel Parkı,29.07382,41.01666
İSTANBUL,Üsküdar,BULGURLU,Piri Reis Parkı,29.08527,41.01705
İSTANBUL,Üsküdar,BULGURLU,Zambak Parkı,29.0815,41.01695
İSTANBUL,Üsküdar,BULGURLU,Altınköy Parkı,29.08397,41.01582
İSTANBUL,Üsküdar,BULGURLU,Gaziler Parkı,29.07104,41.01932
İSTANBUL,Üsküdar,BULGURLU,Karlıdere 2 Parkı,29.0805,41.01515
İSTANBUL,Üsküdar,BULGURLU,Bulgurlu Parkı,29.07616,41.01627
İSTANBUL,Üsküdar,BULGURLU,Milli Eğitim Vakfı Ortaokulu Bahçesi,29.07756,41.01543
İSTANBUL,Üsküdar,BULGURLU,Nezahat Ahmet Keleşoğlu Ortaokulu Bahçesi,29.0794,41.01863
İSTANBUL,Üsküdar,BULGURLU,Memduh Cumhur Sağlık Ocağı Parkı,29.07938,41.01612
İSTANBUL,Üsküdar,BULGURLU,Mavi Marmara Parkı,29.07962,41.0Beylikdüzü
