il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Üsküdar,BURHANİYE,Yeni Çamlıca Parkı,29.05603,41.02982
İSTANBUL,Üsküdar,BURHANİYE,Millet Parkı,29.0534,41.02337
İSTANBUL,Üsküdar,BURHANİYE,Enveriye Parkı,29.04766,41.03076
İSTANBUL,Üsküdar,BURHANİYE,Gençlik Merkezi Parkı,29.05755,41.02781
İSTANBUL,Üsküdar,BURHANİYE,Kağıtçıbaşı Parkı,29.05188,41.03191
İSTANBUL,Üsküdar,BURHANİYE,Aziziye Parkı,29.05865,41.0288
İSTANBUL,Üsküdar,BURHANİYE,Tunuslu Mahmut Paşa Parkı,29.05265,41.0255
İSTANBUL,Üsküdar,BURHANİYE,Abdullah Ağa Parkı,29.04927,41.03288
İSTANBUL,Üsküdar,BURHANİYE,Özel Üsküdar S.E.V İlkokulu Bahçesi,29.0484,41.02921
İSTANBUL,Üsküdar,BURHANİYE,vezir Spor Tesisleri,29.05129,41.02403
