il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Üsküdar,CUMHURİYET,Adem Yavuz Parkı,29.08087,41.01172
İSTANBUL,Üsküdar,CUMHURİYET,Gençlik Parkı,29.08021,41.01199
İSTANBUL,Üsküdar,CUMHURİYET,Karlıdere 3 Parkı,29.08111,41.01422
İSTANBUL,Üsküdar,CUMHURİYET,Süleyman Kule Parkı,29.08772,41.01274
İSTANBUL,Üsküdar,CUMHURİYET,Şifa Parkı,29.0847,41.01251
İSTANBUL,Üsküdar,CUMHURİYET,Karlıdere 1 Parkı,29.0805,41.0146
İSTANBUL,Üsküdar,CUMHURİYET,Libadiye Parkı,29.07409,41.0072
İSTANBUL,Üsküdar,CUMHURİYET,Halıcılar Parkı,29.08151,41.01139
İSTANBUL,Üsküdar,CUMHURİYET,Dutdibi Parkı,29.0782,41.01022
İSTANBUL,Üsküdar,CUMHURİYET,Sedef Çiçeği Parkı,29.08571,41.00984
İSTANBUL,Üsküdar,CUMHURİYET,Manolya Parkı,29.08016,41.00829
İSTANBUL,Üsküdar,CUMHURİYET,Vadi Parkı,29.07834,41.01102
İSTANBUL,Üsküdar,CUMHURİYET,Öz Anakent Sitesi Otopark ve Yeşil Alanlar,29.0829,41.01317
İSTANBUL,Üsküdar,CUMHURİYET,Emek Sitesi Otopar ve Yeşil Alanlar,29.08364,41.01167
İSTANBUL,Üsküdar,CUMHURİYET,Ekşioğlu Ufuk Sitesi Otopark Alanı,29.08501,41.01042
İSTANBUL,Üsküdar,CUMHURİYET,Şehit Recep Büyük Parkı,29.07922,41.00911
