il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Üsküdar,FERAH,Denizciler Parkı,29.07604,41.03021
İSTANBUL,Üsküdar,FERAH,Günbattı Parkı,29.07429,41.0342
İSTANBUL,Üsküdar,FERAH,Gündoğdu Parkı,29.0754,41.03475
İSTANBUL,Üsküdar,FERAH,Kamelya  Parkı,29.07481,41.03388
İSTANBUL,Üsküdar,FERAH,Mehmet Akif Ersoy Parkı,29.07638,41.03598
İSTANBUL,Üsküdar,FERAH,Şehit Yusuf Beyaztaş Parkı,29.07466,41.03304
İSTANBUL,Üsküdar,FERAH,Irmak 1 Parkı,29.07774,41.03504
İSTANBUL,Üsküdar,FERAH,Taşlıbayır Parkı,29.07771,41.03216
İSTANBUL,Üsküdar,FERAH,Erenler Parkı,29.07675,41.02924
İSTANBUL,Üsküdar,FERAH,Büyük Çamlıca Cami Bahçesi,29.0694,41.03363
İSTANBUL,Üsküdar,FERAH,İBB Donatı Alanı,29.06709,41.02981
İSTANBUL,Üsküdar,FERAH,Altıntaş Parkı,29.07369,41.03353
