il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Üsküdar,KISIKLI,Ferah Parkı,29.07541,41.02753
İSTANBUL,Üsküdar,KISIKLI,Hacı Arif Bey 1 Parkı,29.0813,41.02688
İSTANBUL,Üsküdar,KISIKLI,Salih Solman Parkı,29.07142,41.02483
İSTANBUL,Üsküdar,KISIKLI,Hanımseti Parkı,29.07128,41.02213
İSTANBUL,Üsküdar,KISIKLI,Kısıklı Parkı,29.07481,41.02596
İSTANBUL,Üsküdar,KISIKLI,Çamlıca Eğitim K.M. Bahçesi,29.07281,41.02189
İSTANBUL,Üsküdar,KISIKLI,Çamlıca Parkı,29.06701,41.02233
İSTANBUL,Üsküdar,KISIKLI,İlkbahar Parkı,29.07917,41.02523
İSTANBUL,Üsküdar,KISIKLI,Mehmet Akif Ersoy Parkı,29.06285,41.0225
İSTANBUL,Üsküdar,KISIKLI,Çocuk Meclisi Parkı,29.07809,41.02503
İSTANBUL,Üsküdar,KISIKLI,Zerafet Sokak Parkı,29.07515,41.02828
İSTANBUL,Üsküdar,KISIKLI,Büyük Çamlıca Korusu,29.06917,41.02715
