il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Üsküdar,SELAMİ ALİ,Orkide Parkı,29.02784,41.02591
İSTANBUL,Üsküdar,SELAMİ ALİ,Üzümkızı Parkı,29.02913,41.02413
İSTANBUL,Üsküdar,SELAMİ ALİ,Necmettin Öztürk Parkı,29.02407,41.02664
İSTANBUL,Üsküdar,SELAMİ ALİ,Bağlarbaşı Parkı,29.03628,41.02394
İSTANBUL,Üsküdar,SELAMİ ALİ,Bakü Parkı,29.02709,41.02733
İSTANBUL,Üsküdar,SELAMİ ALİ,Kerpiçhane Parkı,29.02954,41.02598
İSTANBUL,Üsküdar,SELAMİ ALİ,Bağlarbaşı Kongre ve Kültür Merkezi Önü,29.03355,41.02411
İSTANBUL,Üsküdar,SELAMİ ALİ,Selami Ali Efendi Cami Bahçesi,29.02365,41.0244
İSTANBUL,Üsküdar,SELAMİ ALİ,15 Temmuz Gazileri Anadolu Lisesi Bahçesi,29.02531,41.02368
İSTANBUL,Üsküdar,SELAMİ ALİ,Selami Ali Fahreddin Tivnikli Cami Bahçesi,29.03268,41.02702
İSTANBUL,Üsküdar,SELAMİ ALİ,Devrim Sokak Parkı,29.03529,41.02438
