il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Üsküdar,YAVUZTÜRK,Papatya Parkı,29.08675,41.04315
İSTANBUL,Üsküdar,YAVUZTÜRK,Alzambak Parkı,29.08386,41.04313
İSTANBUL,Üsküdar,YAVUZTÜRK,Çiçek Parkı,29.0885,41.03672
İSTANBUL,Üsküdar,YAVUZTÜRK,Yavuztürk Parkı,29.08166,41.03163
İSTANBUL,Üsküdar,YAVUZTÜRK,İklime Parkı,29.08649,41.04445
İSTANBUL,Üsküdar,YAVUZTÜRK,Yavuz Selim Parkı,29.08125,41.03083
İSTANBUL,Üsküdar,YAVUZTÜRK,Yavuztürk Mahallesi Kayıkent Sitesi Otopark ve Yeşil Alanlar,29.08502,41.05045
İSTANBUL,Üsküdar,YAVUZTÜRK,Yeşil Yamaç Sitesi Otopark ve Yeşil Alanlar,29.08622,41.04561
İSTANBUL,Üsküdar,YAVUZTÜRK,Halı Saha(Yavuztürk Mahallesi Tosya Sokak No:9),29.08613,41.03962
İSTANBUL,Üsküdar,YAVUZTÜRK,Dalgıçkent Sitesi Otopark ve Yeşil Alanları,29.08583,41.048
İSTANBUL,Üsküdar,YAVUZTÜRK,Siteler İlkokulu Bahçesi,29.08154,41.03652
