il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Üsküdar,ÜNALAN,Utku Sokak Parkı,29.06493,40.99903
İSTANBUL,Üsküdar,ÜNALAN,Fidanlık Parkı,29.06919,41.00114
İSTANBUL,Üsküdar,ÜNALAN,Şehit Timur Aktimur Parkı,29.06516,40.99778
İSTANBUL,Üsküdar,ÜNALAN,Tepeüstü Parkı,29.06355,41.00648
İSTANBUL,Üsküdar,ÜNALAN,Ünalan Pazar Yeri,29.0618,41.00089
İSTANBUL,Üsküdar,ÜNALAN,Çamlıca Kız  Anadolu İmam Hatip Lisesi Bahçesi,29.05902,41.00005
İSTANBUL,Üsküdar,ÜNALAN,Eski Park (Baraj Yolu Alt Sokağı),29.06041,40.99895
İSTANBUL,Üsküdar,ÜNALAN,Cüneyt Çakır Spor Kompleksi Parkı,29.06315,41.00549
İSTANBUL,Üsküdar,ÜNALAN,Şeyh Şamil Mesleki ve Teknik Anadolu Lisesi Bahçesi,29.06355,40.99705
İSTANBUL,Üsküdar,ÜNALAN,Çocuk Üniversitesi Parkı,29.07335,40.99688
