il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Şişli,FERİKÖY,Gediz Sokak Parkı,28.9784,41.05047
İSTANBUL,Şişli,FERİKÖY,Seymen Sokak Parkı,28.98007,41.0508
İSTANBUL,Şişli,FERİKÖY,İETT Kurtuluş Son Durak,28.97786,41.04503
İSTANBUL,Şişli,FERİKÖY,Kurtuluş Anadolu Lisesi Bahçesi( Bozkurt Cad.-Seymen Sok. Kesişen Köşe),28.98088,41.0497
İSTANBUL,Şişli,FERİKÖY,Kuvay-i Milliye İlköğretim Okulu Bahçesi (Bozkurt Cad. No: 140),28.98033,41.04928
İSTANBUL,Şişli,FERİKÖY,Mahmut Şevket Paşa Ortaokulu Bahçesi,28.97913,41.05162
İSTANBUL,Şişli,FERİKÖY,Şehit Nuri Şeker Ortaokulu Bahçesi,28.97962,41.05052
İSTANBUL,Şişli,FERİKÖY,Feriköy Mh. Carrefoursa Market Arkası Açık Otopark,28.97795,41.04603
İSTANBUL,Şişli,FERİKÖY,Taksim Spor Kulübü Sahası (Seymen Sok Sonu),28.9793,41.05084
İSTANBUL,Şişli,FERİKÖY,Aya Dimitri Rum Ortodoks Kilisesi Bahçesi,28.97746,41.04453
