il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İZMİR,ALİAĞA,-,NECMETTİN GİRİTLİOĞLU CAD. VE ZAFER CAD. ARASI,26.962659784174,38.789450919219
İZMİR,ALİAĞA,-,BAHÇEDERE,27.112024239938,38.903759712915
İZMİR,ALİAĞA,-,AŞAĞIŞAKRAN,27.096573282332,38.922753601097
İZMİR,ALİAĞA,-,ÇORAKLAR MERCAN,27.077011533382,38.833683027961
İZMİR,ALİAĞA,-,ÇALTILIDERE CAMİ,27.034587707136,38.852894885899
İZMİR,ALİAĞA,-,572,26.976948096415,38.79176113202
İZMİR,ALİAĞA,-,28/11,27.148297086821,38.890417818011
İZMİR,ALİAĞA,-,2619,27.034773971087,38.700923654906
İZMİR,ALİAĞA,-,KARAKÖY KARADAYI SOKAK İLE KARAKÖY HÜKÜMET CADDESİ KESİŞİMİ,27.071953623868,38.795869213193
İZMİR,ALİAĞA,-,KAPUKAYA KÜME EVLERİ SOKAK,27.152308099571,38.871976914939
İZMİR,ALİAĞA,-,ZEYTİNLİPARK - HÜKÜMET CAD. VE ONAT KUTLAR SOKAK KESİŞİMİ,26.971581459148,38.803377830247
İZMİR,ALİAĞA,-,ÇITAK İSTİKLAL,27.057591940438,38.75683594751
İZMİR,ALİAĞA,-,2205,27.019359046282,38.701602635364
İZMİR,ALİAĞA,-,121,26.981573948517,38.830966243161
İZMİR,ALİAĞA,-,İRFAN ONARAN PARKI - 315/1 SOKAK VE KAZIM ONARAN SOKAK KESİŞİMİ,26.974984236902,38.798592134765
İZMİR,ALİAĞA,-,"ESKİ BELEDİYE BİNASI ARKASI,  AŞIKLAR YOLU CAD., VE ONAT KUTLAR SOKAK KESİŞİMİ",26.970720110392,38.801218078006
İZMİR,ALİAĞA,-,HALI SAHA - PALAMUT SOKAK,27.112402486683,38.760275436483
İZMİR,ALİAĞA,-,KALABAK MAH. KÖY MEYDANI,27.11818431409,38.843837019975
İZMİR,ALİAĞA,-,"ESKİ HOROZGEDİĞİ İLKOKULU BAHÇESİ - HOROZGEDİĞİ MAH. MEYDANI KARŞISI, ÇEŞME SOKAK",26.922460463916,38.734801361935
İZMİR,ALİAĞA,-,CAMİ ÖNÜ - MENEKŞE SOKAK VE YAVUZ SOKAK ARASI,27.06245207775,38.866671978553
İZMİR,ALİAĞA,-,GÜZELHİSAR MAH. MEYDANI - MERKEZ CAD. VE TEPE KÜMEEVLER CAD. KESİŞİMİ,27.018267921552,38.775559259088
İZMİR,ALİAĞA,-,ŞAHİN,26.964735282558,38.71995948309
İZMİR,ALİAĞA,-,GÜNEŞ,26.965043675653,38.795513556579
İZMİR,ALİAĞA,-,10/36,26.909662371949,38.752004598079
İZMİR,ALİAĞA,-,GÖKTEPE CADDESİ - ŞEHİTKEMAL ORTAOKULU BAHÇESİ,26.985711168599,38.726166474148
İZMİR,ALİAĞA,-,2418,27.020496046444,38.698117654402
İZMİR,ALİAĞA,-,FATİH SULTAN MEHMET CAD. VE 3116 SOKAK KESİŞİMİ,27.065643128686,38.882677269521
İZMİR,ALİAĞA,-,UZUNHASANLAR YENİ,27.082627528454,38.774852848115
İZMİR,ALİAĞA,-,SAMURLU MAH. MEYDANI VE CAMİ BAHÇESİ - CUMHURİYET 1. SOKAK,26.98934132534,38.763812731073
İZMİR,ALİAĞA,-,YUKARI ŞEHİT KEMAL OKUL SOKAK,27.005812060175,38.731362469382
İZMİR,ALİAĞA,-,VATAN,27.054717773447,38.758586383807
İZMİR,ALİAĞA,-,11/32,27.097353279182,38.922273603583
İZMİR,ALİAĞA,-,364,26.967534236367,38.79728439458
İZMİR,ALİAĞA,-,2226,27.023385023837,38.703009632639
İZMİR,ALİAĞA,-,TONAL YALÇIN PARKI - MERKEZ KÜMEEVLER SOKAK,26.975339028649,38.834736913806
İZMİR,ALİAĞA,-,3286 SOKAK,27.071491140926,38.886375514165
İZMİR,ALİAĞA,-,DOKUZ EYLÜL CAD. VE 470 SOKAK KESİŞİMİ,26.957437198284,38.788229128741
İZMİR,ALİAĞA,-,HALI SAHA - TEPE KÜMEEVLER CAD.,27.017792985283,38.774202388134
İZMİR,ALİAĞA,-,391 SOKAK VE 392 SOKAK KESİŞİMİ,26.963290145164,38.801555067897
İZMİR,ALİAĞA,-,"AÇIK DÜĞÜN ALANI - CİCİ SOKAK, 719 SOKAK VE 720 SOKAK ARASI",26.987224535811,38.80108001556
İZMİR,ALİAĞA,-,FATİH CADDESİ NO.14 NAMIK KEMAL İLKOKULU BAHÇESİ,26.970586118001,38.796727100471
İZMİR,ALİAĞA,-,GÖKTEPE CADDESİ İLE YUKARI ŞEHİTKEMAL CAMİ KÜME EVLER SOKAK KESİŞİMİ,27.007173056004,38.730307476452
İZMİR,ALİAĞA,-,MUAMMER AKSOY CADDESİ İLE 2625 SOKAK KESİŞİMİNDEKİ YEŞİL ALAN,27.033415977738,38.701022652826
İZMİR,ALİAĞA,-,MÜNİR NURETTİN BAYRAV CADDESİ İLE 2421 SOKAK ARASINDAKİ YEŞİL ALAN,27.01928505507,38.696675660222
İZMİR,ALİAĞA,-,BOZKÖY OKUL,26.964602285977,38.718599490055
İZMİR,ALİAĞA,-,3162,27.062106506302,38.890325726398
İZMİR,ALİAĞA,-,176,26.984550010071,38.819270001568
İZMİR,ALİAĞA,-,MİTHAT PAŞA,27.026116011795,38.702373638555
İZMİR,ALİAĞA,-,EMEK CAD. İLE 497 SOKAK ARASI,26.958449198654,38.78484414677
İZMİR,ALİAĞA,-,İNCİRLİK,27.059922948093,38.915975314477
İZMİR,ALİAĞA,-,23 NİSAN,26.985880999902,38.821212992975
İZMİR,ALİAĞA,-,EMEK CAD. VE ÖZLEM CAD. KESİŞİMİ,26.960427094736,38.789628161879
İZMİR,ALİAĞA,-,19 MAYIS,26.985031796436,38.82138670801
İZMİR,ALİAĞA,-,448 SOKAK ÜZERİNDEKİ ALİAĞA ANADOLU İMAM HATİP LİSESİ BAHÇESİ,26.964429161478,38.78956412935
İZMİR,ALİAĞA,-,ŞEHİT BİNBAŞI YAVUZ BAŞAYAR,26.966467146633,38.792338118352
