il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İZMİR,BALÇOVA,-,DUYGU,27.061053424591,38.384691679944
İZMİR,BALÇOVA,-,YEŞİL CAMİİ,27.049785434803,38.3893322707
İZMİR,BALÇOVA,-,GAZİ OSMAN PAŞA,27.06133236473,38.396122247586
İZMİR,BALÇOVA,-,V. HÜSEYİN ÖĞÜTÇEN,27.038132492472,38.389475257759
İZMİR,BALÇOVA,-,MİTHATPAŞA,27.040385471391,38.395213230855
İZMİR,BALÇOVA,-,ENVERPAŞA,27.057011406338,38.384402304494
İZMİR,BALÇOVA,-,ATA,27.058426397672,38.385444299867
İZMİR,BALÇOVA,-,YAREN,27.060025656902,38.379169160802
İZMİR,BALÇOVA,-,SAKARYA,27.042863471394,38.387682271833
İZMİR,BALÇOVA,-,ORTANCA,27.043696458064,38.392966245726
İZMİR,BALÇOVA,-,ERTUĞRUL GAZİ,27.058610381497,38.39417825501
İZMİR,BALÇOVA,-,UZUN HASAN,27.057261026042,38.381876480664
İZMİR,BALÇOVA,-,ATA,27.057851159515,38.390835713891
İZMİR,BALÇOVA,-,MİTHATPAŞA,27.051462056708,38.394298186284
İZMİR,BALÇOVA,-,FEVZİ ÇAKMAK,27.058888398215,38.383900309065
İZMİR,BALÇOVA,-,EREN,27.055277404996,38.390289271529
İZMİR,BALÇOVA,-,METİN OKTAY,27.054161423415,38.382980308454
İZMİR,BALÇOVA,-,MOLLA GÜRANİ,27.064999357138,38.390289282336
İZMİR,BALÇOVA,-,MURAT,27.049166436465,38.389733268403
İZMİR,BALÇOVA,-,3. SELİM,27.059443386392,38.38890028313
İZMİR,BALÇOVA,-,DALYA,27.055277403587,38.391122267714
İZMİR,BALÇOVA,-,DEMİRCİ EFE,27.047777445464,38.38890027102
İZMİR,BALÇOVA,-,YAZAR,27.082512258128,38.363749343133
İZMİR,BALÇOVA,-,FUTBOL,27.086404011337,38.36960061954
İZMİR,BALÇOVA,-,UNIVERSIADE,27.088125504355,38.371629873008
