il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İZMİR,BAYINDIR,-,YANIK ÇİFTLİK SOKAK,27.743549330724,38.160549158151
İZMİR,BAYINDIR,-,MAHMUT ŞEVKET PAŞA,27.648843604876,38.222377163034
İZMİR,BAYINDIR,-,ER,27.641666744411,38.223146733794
İZMİR,BAYINDIR,-,KIZILCAOVA ATATÜRK,27.512856134248,38.205818678254
İZMİR,BAYINDIR,-,ÇİFTÇİGEDİĞİ,27.502919474601,38.200212718607
İZMİR,BAYINDIR,-,PAŞA ÇEŞME,27.652449341475,38.222813676573
İZMİR,BAYINDIR,-,AYŞE HANIM,27.553697232662,38.1920128113
İZMİR,BAYINDIR,-,ŞİRİNKIR,27.701159739374,38.20124486962
İZMİR,BAYINDIR,-,ELİFLİ,27.579773088718,38.200488792283
İZMİR,BAYINDIR,-,KESTANELİK,27.55899803455,38.301469245923
İZMİR,BAYINDIR,-,YAKAPINAR CEMEVİ - A. MUZAFFER TUNÇAĞ SOKAK,27.542460355403,38.209697368724
İZMİR,BAYINDIR,-,KANİ BEY PARKI - ATATÜRK CAD.,27.647703716933,38.221431748302
İZMİR,BAYINDIR,-,ÇIRPI VALİ KAZIM DİRİK PARKI - VALİ KAZIM DİRİK CAD.,27.497415548857,38.171040865993
İZMİR,BAYINDIR,-,KARAPINAR SOKAK,27.750034081811,38.229624089203
İZMİR,BAYINDIR,-,KARAHALİLLİ PARKI - 2. ÇAYIR SOKAK,27.615005664574,38.194760935179
İZMİR,BAYINDIR,-,ÖZKASAP KÜME VELERİ,27.517005305513,38.290843951525
İZMİR,BAYINDIR,-,ATATÜRK CAD.,27.646525882738,38.223282454606
İZMİR,BAYINDIR,-,ARIKBAŞI MAH. MEYDANI - CUMHURİYET SOKAK,27.493134552224,38.182565801817
İZMİR,BAYINDIR,-,ZEYTİNOVA MAH. MEYDANI - ŞEHİT ERDAL CANBULAT CAD.,27.728970469039,38.204312406245
İZMİR,BAYINDIR,-,BAYSAN PARKI - HACI SİNAN CAD.,27.644418474147,38.213859797911
İZMİR,BAYINDIR,-,KIZILCAAĞAÇ KÜMEEVLERİ,27.637350735156,38.242792627556
İZMİR,BAYINDIR,-,KARAHAYIT SOKAK,27.749000614712,38.245375600443
İZMİR,BAYINDIR,-,FATİH PARKI - TOROS CAD.,27.65055971138,38.21592077979
İZMİR,BAYINDIR,-,CEVİZ SOKAK,27.690779421733,38.240744226913
İZMİR,BAYINDIR,-,SANAYİ PARKI - HÜKÜMET ÖNÜ CAD.,27.657397672467,38.218558772623
İZMİR,BAYINDIR,-,CANLI İLYAS TUNA PARKI,27.552197241063,38.191912810064
İZMİR,BAYINDIR,-,CANLI İLYAS TUNA PARKI - AYŞE HANIM SOKAK,27.551748243315,38.191910809691
İZMİR,BAYINDIR,-,KIZILOBA İLKOKULU,27.685896437771,38.278712486482
İZMİR,BAYINDIR,-,KÖY MEYDANI,27.547897140244,38.26991239892
İZMİR,BAYINDIR,-,ÇIRPI MUSTAFA ADANIR ORTAOKULU,27.494597555103,38.175912837994
İZMİR,BAYINDIR,-,DÖRT EYLÜL İLKOKULU,27.646696716993,38.224412732059
İZMİR,BAYINDIR,-,ATATÜRK İLKOKULU,27.65119670014,38.220712755984
İZMİR,BAYINDIR,-,ALAÇIK PAZAR ALANI,27.652696618528,38.268812506416
İZMİR,BAYINDIR,-,ESKİ OKUL BAHÇESİ - BALCILAR YOLU SOKAK,27.576286344507,38.282181161513
İZMİR,BAYINDIR,-,BAŞÖĞRETMEN ATATÜRK SOKAK,27.67894301448,38.225545671173
İZMİR,BAYINDIR,-,KOCA MEZARLIK,27.486910562238,38.165395360717
İZMİR,BAYINDIR,-,ÇIRPI AÇIK PAZARI - MUSLUOĞLU SOKAK,27.497441132217,38.167816629571
İZMİR,BAYINDIR,-,VALİ KAZIM DİRİK CAD.,27.502352561386,38.147424995143
İZMİR,BAYINDIR,-,KABAAĞAÇ SOKAK,27.751662150846,38.252706684449
İZMİR,BAYINDIR,-,ALANKIYI KÖY YOLU,27.624405315464,38.274872090998
İZMİR,BAYINDIR,-,ESKİ OKUL BAHÇESİ - ILICA SOKAK,27.68041250929,38.250278629636
İZMİR,BAYINDIR,-,ALANKÖY YOLU KÜMEEVLERİ SOKAK,27.756121079163,38.2394943948
İZMİR,BAYINDIR,-,UZUN SOKAK,27.779259025369,38.245092749921
İZMİR,BAYINDIR,-,BURUNCUK SOKAK,27.714506641845,38.19800802127
İZMİR,BAYINDIR,-,HAVUZBAŞI KÖY İÇİ SOKAK,27.469716690898,38.169406847521
İZMİR,BAYINDIR,-,ESKİ FURUNLU KÖYÜ YOLU SOKAK,27.602180101622,38.202125421741
İZMİR,BAYINDIR,-,SERÇE SOKAK,27.619052909133,38.165972193215
İZMİR,BAYINDIR,-,YUSUFLU,27.696681473711,38.220125802492
İZMİR,BAYINDIR,-,SÖĞÜTÖREN İLKOKULU,27.57429707837,38.225212657471
İZMİR,BAYINDIR,-,HACI SİNAN CAMİ,27.647696711997,38.224312733576
İZMİR,BAYINDIR,-,LÜTUFLAR İLKOKULU,27.804295862241,38.270212643011
İZMİR,BAYINDIR,-,ÇENİKLER SOKAK,27.732351887899,38.242755694124
İZMİR,BAYINDIR,-,CAMİ,27.561997229855,38.167612947621
İZMİR,BAYINDIR,-,KİLİSE MEYDANI,27.649496702631,38.224812733066
İZMİR,BAYINDIR,-,HACI İSMAİL AKDAĞ İMAM HATİP ORTAOKULU,27.645096732731,38.219412756867
İZMİR,BAYINDIR,-,SARIYURT İLKOKULU,27.713096295125,38.283412488423
İZMİR,BAYINDIR,-,ORMAN PARSELİ,27.790695851236,38.321912362147
İZMİR,BAYINDIR,-,EMİR ÇEŞME,27.636812766612,38.224242723446
İZMİR,BAYINDIR,-,KÖY MEYDANI,27.583996993255,38.248212547239
İZMİR,BAYINDIR,-,SULTAN SOKAK,27.750351040527,38.194193449743
İZMİR,BAYINDIR,-,ALBAY ALPAT,27.645196728292,38.221812744588
İZMİR,BAYINDIR,-,BAYINDIR ŞEHİR STADI - ALBAY ALPAT CAD.,27.64588972822,38.219982754077
İZMİR,BAYINDIR,-,SADIK PAŞA PARKI - AĞUSTOSLU SOKAK,27.644385740467,38.216651770224
İZMİR,BAYINDIR,-,ÇINARDİBİ İLKOKULU,27.518597254944,38.290112264773
İZMİR,BAYINDIR,-,BURUNCUK İLKOKULU,27.712396430759,38.197412935849
İZMİR,BAYINDIR,-,YILDIRIM BEYAZIT,27.650663804071,38.216037015284
İZMİR,BAYINDIR,-,BAYINDIR ŞEHİR STADI - ALBAY ALPAT CAD.,27.64575171954,38.220035101986
İZMİR,BAYINDIR,-,CAMİ,27.569097130271,38.208412740339
İZMİR,BAYINDIR,-,YOL-MEYDAN,27.647796710765,38.225212728714
İZMİR,BAYINDIR,-,KIZILCAOVA İLKOKULU,27.512697419211,38.20421270744
İZMİR,BAYINDIR,-,OTUZBİLER KÜMEEVLERİ (AHMETLER),27.615196849198,38.24091261549
İZMİR,BAYINDIR,-,KARA SELVİ MEYDANI,27.63709676811,38.222512732474
İZMİR,BAYINDIR,-,RAİF PARMAKSIZ,27.650824181851,38.22242648694
İZMİR,BAYINDIR,-,BAYINDIR ŞEHİR STADI - ALBAY ALPAT CAD.,27.646131727082,38.219813755691
İZMİR,BAYINDIR,-,NECMETTİN ERBAKAN PARKI - AĞUSTOSLU SOKAK,27.642132981306,38.216292420396
İZMİR,BAYINDIR,-,ÇAYIR İLKOKULU,27.746296317579,38.160213162257
İZMİR,BAYINDIR,-,MERKEZ İSMET İNÖNÜ ORTAOKULU,27.645496737086,38.215712776611
