il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İZMİR,BAYRAKLI,-,7384/4,27.132488849816,38.490260836861
İZMİR,BAYRAKLI,-,NUR SULTAN NAZAR BAYEV,27.168658719752,38.461428022864
İZMİR,BAYRAKLI,-,1620/6,27.167507710678,38.470024977724
İZMİR,BAYRAKLI,-,7194/11,27.160481703819,38.494912842337
İZMİR,BAYRAKLI,-,ŞEHİT ASTEĞMEN MESUT UZLU,27.118731956024,38.468333935382
İZMİR,BAYRAKLI,-,592/18,27.185357110295,38.475946110774
İZMİR,BAYRAKLI,-,2148/3,27.18312261793,38.479194946827
İZMİR,BAYRAKLI,-,7355/2,27.142998788341,38.496214816537
İZMİR,BAYRAKLI,-,1620/39,27.167423453694,38.476979372216
İZMİR,BAYRAKLI,-,249/2,27.194758968553,38.465227005306
İZMİR,BAYRAKLI,-,1620/41,27.155134765041,38.474276942613
İZMİR,BAYRAKLI,-,2143,27.174816669915,38.472892970638
İZMİR,BAYRAKLI,-,1643/27,27.178794661247,38.466219008901
İZMİR,BAYRAKLI,-,7369/1,27.12898887895,38.483680866743
İZMİR,BAYRAKLI,-,7170,27.137022844431,38.480746890832
İZMİR,BAYRAKLI,-,GİRNE,27.115696957811,38.476211891437
İZMİR,BAYRAKLI,-,284/1SOKAK PARK ALANI,27.184313652279,38.455223071722
İZMİR,BAYRAKLI,-,7666,27.125418897928,38.483170866163
İZMİR,BAYRAKLI,-,7000,27.14176084444,38.466516968342
İZMİR,BAYRAKLI,-,1609/12,27.154295772572,38.471995953859
İZMİR,BAYRAKLI,-,1615/4,27.169349701716,38.469501982326
İZMİR,BAYRAKLI,-,2108/10,27.180450649279,38.46823600055
İZMİR,BAYRAKLI,-,2131/21,27.178992675977,38.456807057701
İZMİR,BAYRAKLI,-,1844/12,27.121165932172,38.475501900663
İZMİR,BAYRAKLI,-,FATİH SULTAN MEHMET,27.194375588836,38.463231040499
İZMİR,BAYRAKLI,-,İSLAM KERİMOV,27.181999671003,38.45096009131
İZMİR,BAYRAKLI,-,1847/16,27.11835594251,38.477247888525
İZMİR,BAYRAKLI,-,SAKARYA,27.186982636785,38.456167069521
İZMİR,BAYRAKLI,-,1847/13,27.121713928031,38.476361897325
İZMİR,BAYRAKLI,-,278/5,27.184443957996,38.460460001012
İZMİR,BAYRAKLI,-,283/12,27.18373165299,38.456097066486
İZMİR,BAYRAKLI,-,275/8,27.186778633864,38.458815054951
İZMİR,BAYRAKLI,-,278/5,27.184321645245,38.459122050982
İZMİR,BAYRAKLI,-,286,27.181903665935,38.453957074964
İZMİR,BAYRAKLI,-,1844/17,27.122589690516,38.478795477794
İZMİR,BAYRAKLI,-,DUMLUPINAR,27.196996583428,38.458491067324
İZMİR,BAYRAKLI,-,AKIN KIVANÇ,27.124522918772,38.478762346957
İZMİR,BAYRAKLI,-,275/8,27.186162634253,38.460065048579
İZMİR,BAYRAKLI,-,237,27.200356558512,38.463612044337
İZMİR,BAYRAKLI,-,275/11,27.184731636436,38.462928032273
İZMİR,BAYRAKLI,-,SAKARYA,27.185648641572,38.457402061533
İZMİR,BAYRAKLI,-,YÜZBAŞI İBRAHİM HAKKI,27.198851563471,38.464560038688
İZMİR,BAYRAKLI,-,7599,27.117164937779,38.483843853192
İZMİR,BAYRAKLI,-,7021,27.133811884785,38.466108962063
İZMİR,BAYRAKLI,-,ZEKİ YAVAŞ,27.165730732088,38.462769012652
İZMİR,BAYRAKLI,-,1620/39,27.158209748924,38.474909943054
İZMİR,BAYRAKLI,-,ŞEHİT ASTEĞMEN MESUT UZLU,27.118860953085,38.469471929724
İZMİR,BAYRAKLI,-,ANADOLU,27.160533751814,38.465817992287
İZMİR,BAYRAKLI,-,269/3,27.193575252629,38.455966934447
İZMİR,BAYRAKLI,-,7382,27.132054153892,38.491648418164
İZMİR,BAYRAKLI,-,Fatih Sultan Mehmet Cadesi 275/1 ve 249 Sokakları Arası,27.191969602589,38.462111043907
İZMİR,BAYRAKLI,-,2073,27.172160695786,38.465261007207
İZMİR,BAYRAKLI,-,2140/22,27.172126671123,38.479551933026
İZMİR,BAYRAKLI,-,617/11 SOKAK YEŞİL ALAN,27.184452635513,38.464430024115
İZMİR,BAYRAKLI,-,1847/13,27.116991950093,38.476909889586
İZMİR,BAYRAKLI,-,7171,27.13734484234,38.481038889525
İZMİR,BAYRAKLI,-,7355,27.143175074824,38.488618252835
İZMİR,BAYRAKLI,-,7398,27.136217838177,38.486493859959
İZMİR,BAYRAKLI,-,1593/22,27.180443658521,38.462843028174
İZMİR,BAYRAKLI,-,YÜZBAŞI İBRAHİM HAKKI VE 249/2 ARASI PARK,27.189092613088,38.464283029304
İZMİR,BAYRAKLI,-,YÜZBAŞI İBRAHİM HAKKI,27.185306616969,38.46414261079
İZMİR,BAYRAKLI,-,YÜZBAŞI İBRAHİM HAKKI,27.197627566042,38.466625026263
İZMİR,BAYRAKLI,-,1844/16,27.120166928282,38.480290875264
İZMİR,BAYRAKLI,-,7334,27.127917887372,38.48158987617
İZMİR,BAYRAKLI,-,7000,27.141038843461,38.469170954232
İZMİR,BAYRAKLI,-,2166,27.17764165006,38.475988956973
