il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İZMİR,BERGAMA,-,PİRSULTAN ABDAL,27.184530525229,39.113356744109
İZMİR,BERGAMA,-,KATRANCI,27.312001516507,39.321960359469
İZMİR,BERGAMA,-,TOPALLAR,27.334550410909,39.342462776142
İZMİR,BERGAMA,-,KIZILTEPE,27.133301294141,38.940801802649
İZMİR,BERGAMA,-,ATATÜRK,27.174501573846,39.113120735305
İZMİR,BERGAMA,-,KOZAK YOLU ÜZERİ ESKİ ELEKTRİK SANTRALİ BAHÇESİ,27.177197537217,39.126707670858
İZMİR,BERGAMA,-,YUKARIADA,27.344329617853,39.376322411319
İZMİR,BERGAMA,-,ÜÇTEPE,27.246806426463,39.239480915594
İZMİR,BERGAMA,-,AŞAĞICUMA,27.011401998523,39.27021213755
İZMİR,BERGAMA,-,İSMAİLLİ,27.213667848271,38.932953032905
İZMİR,BERGAMA,-,AYVATALAR,26.981822118709,39.267086381461
İZMİR,BERGAMA,-,HACILAR (DEREKÖY BUCAĞI),27.270022603218,39.324255301947
İZMİR,BERGAMA,-,KOZLUCA MERKEZ,27.428449924113,39.242767998144
İZMİR,BERGAMA,-,ARMAĞANLAR,27.185633619989,39.055216034083
İZMİR,BERGAMA,-,HACIHAMZALAR,27.045710023178,39.290778372928
İZMİR,BERGAMA,-,ALHATLI MERKEZ,27.384681399026,39.288070175979
İZMİR,BERGAMA,-,AVUNDUK,27.209048410227,38.995250848277
İZMİR,BERGAMA,-,ÖRENLİ,27.267890749884,39.221829506608
İZMİR,BERGAMA,-,YUKARIKIRIKLAR SOKAK,27.235299218824,39.187837532392
İZMİR,BERGAMA,-,YUKARICUMA SOKAK,27.096580585537,39.318192642507
İZMİR,BERGAMA,-,YORTANLI SOKAK,27.265476898762,39.250154155179
İZMİR,BERGAMA,-,YERLİTAHTACI SOKAK,27.136502349039,39.151887945016
İZMİR,BERGAMA,-,KEMAL ATATÜRK CAD. VE GENÇLİK CAD. ARASI,27.058608292552,39.009101747208
İZMİR,BERGAMA,-,KÜÇÜKKAYA KÖY YOLU SOKAK,27.124792084915,39.091105919174
İZMİR,BERGAMA,-,ÜRKÜTLER SOKAK,27.375128195129,39.355870752323
İZMİR,BERGAMA,-,GÖKÇEYURT SOKAK,27.188943353913,39.199323324546
İZMİR,BERGAMA,-,CUMHURİYET MEYDANI - CUMHURİYET CAD. VE SARAY SOK.KESİŞİMİ,27.172925569767,39.119531701515
İZMİR,BERGAMA,-,GAYLAN SOKAK,27.194542607339,39.046153484522
İZMİR,BERGAMA,-,DAĞISTAN SOKAK VE 3091/3 SOKAK KESİŞİMİ,27.297235951594,39.131432773353
İZMİR,BERGAMA,-,ÇÜRÜKBAĞ SOKAK,27.229220058846,39.262550025339
İZMİR,BERGAMA,-,MAHMUDİYE SOKAK,27.219583169848,39.220757251033
İZMİR,BERGAMA,-,ÇAMOBA SOKAK,27.393995075675,39.252633825906
İZMİR,BERGAMA,-,ÇAMKÖY SOKAK,27.080576070254,39.087840760373
İZMİR,BERGAMA,-,ÇAKIRLAR MERKEZ SOKAK,27.117454360679,39.14291883381
İZMİR,BERGAMA,-,BEKİRLER SOKAK,27.27858336455,38.942755692066
İZMİR,BERGAMA,-,BALABAN MAH. MUHTARLIĞI BİNASI ÇEVRESİ - BALABAN SOKAK,27.202003736948,38.953184820116
İZMİR,BERGAMA,-,ILICA TESİS ALANI - EFELER CAD. VE YEŞİLLİK CAD. KESİŞİMİ,27.151937200111,39.101417432023
İZMİR,BERGAMA,-,ESKİ FABRİKA ALANI - FATİH CAD. VE ŞEHİT BÜLENT AVŞAR CAD. KESİŞİMİ,27.190793681498,39.103154114233
İZMİR,BERGAMA,-,TIRMANLAR SOKAK,27.27710766331,39.297150790053
İZMİR,BERGAMA,-,ALİBEYLİ SOKAK,27.379543399885,39.223551404174
İZMİR,BERGAMA,-,OKUL BAHÇESİ VE ÇEVRESİ - EĞİTİM CAD. VE KURTULUŞ CAD. KESİŞİMİ,27.334672056489,39.189618112937
İZMİR,BERGAMA,-,AVUNDURUK SOKAK,27.203777511387,39.211530305816
İZMİR,BERGAMA,-,ÇIBANDEDE SOK.VE AKINCILAR CAD. KESİŞİMİ,27.17755769349,39.118827112899
İZMİR,BERGAMA,-,SAĞANCI YUNUS ŞAHİNKOÇ ORTAOKULU BAHÇESİ - SAĞANCI SOKAK,27.03286507997,39.090554672361
İZMİR,BERGAMA,-,ÇALTIKORU SOKAK,27.323733211346,39.238024353386
İZMİR,BERGAMA,-,PAŞAKÖY SOKAK,27.30487262374,39.217834243818
İZMİR,BERGAMA,-,2777 SOKAK,27.116034521306,38.970225813107
İZMİR,BERGAMA,-,BİLGE CAD.,27.425877119601,39.185224079742
İZMİR,BERGAMA,-,FERİZLER SOKAK,27.297062904714,39.1916403524
İZMİR,BERGAMA,-,KAŞIKÇI SOKAK,27.231622481019,39.071514594227
İZMİR,BERGAMA,-,İLKOKUL BAHÇESİ - ÇİTKÖY SOKAK,27.277471202886,39.179265444842
İZMİR,BERGAMA,-,KOCA SOKAK,27.091221639362,39.252499029624
İZMİR,BERGAMA,-,ZAĞNOS MERKEZ SOKAK,27.34702883184,39.180842363373
İZMİR,BERGAMA,-,DOĞANCI MAH. MUHTARLIĞI BİNASI ÖNÜ - DOĞANCI MERKEZ SOKAK,27.301206550427,39.196145747123
İZMİR,BERGAMA,-,ÖKSÜZLER SOKAK,27.254308907381,38.969264090444
İZMİR,BERGAMA,-,İNCECİKLER SOKAK,27.152430097429,39.184222185124
İZMİR,BERGAMA,-,İZMİR ÇANAKKALE YOLU CAD.,27.073847211213,39.072429552436
İZMİR,BERGAMA,-,ZEYTİNDAĞ ÇOK PROGRAMLI ANADOLU LİSESİ BAHÇESİ - LİSE CAD.,27.071159487016,38.970192580541
İZMİR,BERGAMA,-,ÇALIBAHÇE SOKAK,27.109676483437,39.001547747028
İZMİR,BERGAMA,-,CEVAPLI MAH. MUHTARLIĞI BİNASI ÖNÜ - CEVAPLI SOKAK,27.15649046107,39.022742525713
İZMİR,BERGAMA,-,BOZKÖY SOKAK,27.112404236822,39.027778511935
İZMİR,BERGAMA,-,KAPLAN (GÖÇBEYLİ BUCAĞI) SOKAK,27.410624476477,39.306117368447
İZMİR,BERGAMA,-,AŞAĞI SOKAK,27.382244881202,39.335662578264
İZMİR,BERGAMA,-,KARAHIDIRLI SOKAK,27.155883043981,39.046262802162
İZMİR,BERGAMA,-,TERZİHALİLLER SOKAK,27.068055296417,39.289444599584
İZMİR,BERGAMA,-,İBRAHİM ATLAN,27.197821446811,39.121305719189
İZMİR,BERGAMA,-,KOYUNELİ SOKAK,27.175578559158,38.974734625444
İZMİR,BERGAMA,-,KARALAR MERKEZ SOKAK,27.32222007999,39.317759244474
İZMİR,BERGAMA,-,DEMİRCİDERE SOKAK,26.919207956198,39.264933968582
İZMİR,BERGAMA,-,EĞRİGÖL SOKAK,27.122206640497,39.050279829921
İZMİR,BERGAMA,-,SARIDERE SOKAK,27.09668691833,39.016851467549
İZMİR,BERGAMA,-,DEREKÖY EBSO İLKOKULU BAHÇESİ - DEREKÖY B.M. SOKAK,27.32543289207,39.274133113024
İZMİR,BERGAMA,-,YALNIZDAM SOKAK,27.43817553538,39.26941370418
İZMİR,BERGAMA,-,DURMUŞLAR SOKAK,27.373318359252,39.264791195589
İZMİR,BERGAMA,-,İKİZLER SOKAK,27.309990332529,39.349543520517
İZMİR,BERGAMA,-,HİSARKÖY SOKAK,26.994356748418,39.258528692525
İZMİR,BERGAMA,-,KOCAHALİLLER SOKAK,27.285343497266,38.935617366583
İZMİR,BERGAMA,-,TİYELTİ MERKEZ SOKAK,27.156306700076,39.121521611025
İZMİR,BERGAMA,-,ATÇILAR SOKAK,27.198840811933,38.907090787198
İZMİR,BERGAMA,-,AŞAĞIILGINDERE MAH. MUHTARLIĞI BİNASI YANI - AŞAĞIILGINDERE SOKAK,27.46671936582,39.251568356178
İZMİR,BERGAMA,-,RAHMANLAR SOKAK,27.319985585595,38.920085728531
İZMİR,BERGAMA,-,NARLICA,27.069699109907,39.095112712139
İZMİR,BERGAMA,-,GÖBELLER SOKAK,27.020516335628,39.252114038049
İZMİR,BERGAMA,-,ÇAMAVLU SOKAK,27.140661034235,39.318909440938
İZMİR,BERGAMA,-,HALİLAĞALAR SOKAK,27.304093605851,39.331532168403
İZMİR,BERGAMA,-,SARICALAR SOKAK,27.447216300267,39.216289093788
İZMİR,BERGAMA,-,ATATÜRK,27.134699361749,39.093079722039
İZMİR,BERGAMA,-,AYASPAŞA CAD.,27.335421272289,39.191864398042
İZMİR,BERGAMA,-,AHMETBEYLER SOKAK,27.275546065148,39.176361850325
İZMİR,BERGAMA,-,VAKIF ZEYTİNLİĞİ - ADNAN MENDERES BULVARI VE KAYHAN CAD. KESİŞİMİ,27.18268127342,39.11320587369
İZMİR,BERGAMA,-,OKUL BAHÇESİ VE ÇEVRESİ - AŞAĞIKIRIKLAR SOKAK,27.045279446428,39.03172117942
İZMİR,BERGAMA,-,HACILAR / YUNTDAĞ  MAH. MUHTARLIĞI BİNASI ÖNÜ - HACILAR SOKAK,27.241021375556,38.964955241659
İZMİR,BERGAMA,-,KAPUKAYA SOKAK,27.14485374143,39.174151951845
İZMİR,BERGAMA,-,SEKLİK SOKAK,27.215182949698,38.884997549802
İZMİR,BERGAMA,-,BAYRAMCILAR SOKAK,27.246026480337,38.925194468174
İZMİR,BERGAMA,-,ÇAMLIPARK - CUMHURİYET CAD. VE ESKİ HASTANE CAD. ARASI,27.175454002768,39.115000316218
İZMİR,BERGAMA,-,DOMUZALANI -  İTTİHAT TERAKKİ CAD.,27.180428962861,39.125890709819
İZMİR,BERGAMA,-,MERKEZ SOKAK,27.106218581411,39.091252278376
İZMİR,BERGAMA,-,SÜLEYMANLI SOKAK,27.065308904083,39.0640250153
İZMİR,BERGAMA,-,PİREVELİLER SOKAK,27.246815348514,39.273108337124
İZMİR,BERGAMA,-,ORUÇLAR SOKAK,27.326854248721,39.354018812773
İZMİR,BERGAMA,-,KOCAKÖY SOKAK,27.295839277845,38.943975704163
İZMİR,BERGAMA,-,KIRCALAR MERKEZ SOKAK,27.336522981247,39.321772313855
İZMİR,BERGAMA,-,KADIKÖY SOKAK,27.368818212537,39.180123329992
İZMİR,BERGAMA,-,TOPÇU KIŞLASI ALANI - KINIK CAD. VE ŞUBE SOKAK KESİŞİMİ,27.185209507587,39.121438705393
İZMİR,BERGAMA,-,ILGINCABER SOKAK,27.455692998422,39.245844372669
İZMİR,BERGAMA,-,HAMZALI SÜLEYMANİYE SOKAK,27.200820306316,39.155131859292
İZMİR,BERGAMA,-,GÜLTEPE SOKAK,27.324888486124,39.325253849952
İZMİR,BERGAMA,-,DOSTLUK CAD.,27.404172373648,39.221922600452
İZMİR,BERGAMA,-,EĞİLLER SOKAK,27.338126532908,39.261443175844
İZMİR,BERGAMA,-,ÇOBANLAR SOKAK,27.24066892232,39.304720861918
İZMİR,BERGAMA,-,KIŞLA,27.170028461488,39.121671917003
İZMİR,BERGAMA,-,YENİLER MERKEZ SOKAK,27.360869500844,39.277597914145
