il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İZMİR,BEYDAĞ,-,NAZİLLİ CAD.,28.216002394612,38.085166364875
İZMİR,BEYDAĞ,-,TABAKLAR,28.228157783713,38.06395615331
İZMİR,BEYDAĞ,-,EKİN SOKAK,28.26100856719,38.103464330776
İZMİR,BEYDAĞ,-,DERİN SOKAK,28.29171571728,38.108719029899
İZMİR,BEYDAĞ,-,YASEMİN SOKAK,28.153593893719,38.09169525499
İZMİR,BEYDAĞ,-,KUVAYİ MİLLİYE YOLU SOKAK,28.211480565535,38.070061788811
İZMİR,BEYDAĞ,-,BAŞARI SOKAK,28.201744197475,38.073178031614
İZMİR,BEYDAĞ,-,YENİYURT MAH. MEYDANI - ZAFER SOKAK,28.220308764457,38.066747865016
İZMİR,BEYDAĞ,-,YUKARI SOKAK,28.262295890172,38.08501102188
İZMİR,BEYDAĞ,-,NEHİR SOKAK,28.171571765348,38.091292262946
İZMİR,BEYDAĞ,-,TUNA SOKAK,28.253878701869,38.123726849315
İZMİR,BEYDAĞ,-,ÇAMLIK MAH. MEYDANI - YONCA SOKAK,28.27385072241,38.065574752852
İZMİR,BEYDAĞ,-,SEDEF SOKAK,28.237454130026,38.063691500149
İZMİR,BEYDAĞ,-,ZEYTİNLİK 1 SOKAK,28.202079904869,38.085516486287
İZMİR,BEYDAĞ,-,ÇAĞLAR SOKAK,28.27577763561,38.07303553197
İZMİR,BEYDAĞ,-,MANDIRAS SOKAK,28.20585511503,38.11805979994
İZMİR,BEYDAĞ,-,GÜVEN SOKAK,28.158710006544,38.116127390198
İZMİR,BEYDAĞ,-,DOĞA SOKAK,28.24533008865,38.143810869077
İZMİR,BEYDAĞ,-,MENDERES SOKAK,28.205330631727,38.103030876178
İZMİR,BEYDAĞ,-,KÖPRÜBAŞI MEVKİİ SOKAK,28.219351851047,38.088233352342
İZMİR,BEYDAĞ,-,UYGAR SOKAK,28.178160530415,38.117145664987
İZMİR,BEYDAĞ,-,ÇİFTEKUYULAR SOKAK,28.247141478796,38.129681665657
İZMİR,BEYDAĞ,-,ÇAMCILAR SOKAK,28.286877754873,38.118232049085
İZMİR,BEYDAĞ,-,ÇOMAKLAR SOKAK,28.249986481092,38.063218973515
İZMİR,BEYDAĞ,-,ALAKEÇİLİ MAH. MEYDANI - BAŞAK SOKAK,28.189297815115,38.079009553961
İZMİR,BEYDAĞ,-,HACIALİLER SOKAK,28.282598775707,38.097899972151
İZMİR,BEYDAĞ,-,YONUÇ SOKAK,28.296482115018,38.112089494678
İZMİR,BEYDAĞ,-,SEHER SOKAK,28.267559068804,38.141501755384
İZMİR,BEYDAĞ,-,ÇAYAĞZI SOKAK,28.205871163322,38.083820979541
İZMİR,BEYDAĞ,-,YÜKSEL SOKAK,28.216085492716,38.085374770855
İZMİR,BEYDAĞ,-,SÜLEYMANLAR SOKAK,28.254135937153,38.074953268584
İZMİR,BEYDAĞ,-,ÖRENLER SOKAK,28.309207208063,38.122370081331
İZMİR,BEYDAĞ,-,2 EYLÜL KURTULUŞ PARKI,28.209167140346,38.088663956682
İZMİR,BEYDAĞ,-,PALAMUTÇUK SOKAK,28.27140537421,38.094853267618
İZMİR,BEYDAĞ,-,LEYLAK SOKAK,28.2103798736,38.088407944051
İZMİR,BEYDAĞ,-,EREN SOKAK YEŞİL ALAN,28.206398155833,38.08692896363
İZMİR,BEYDAĞ,-,ATATÜRK KÜLTÜR CAD.,28.211859129253,38.087549965505
