il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İZMİR,BORNOVA,-,KARAÇAM MAH. MEYDANI,27.270967188219,38.517730044127
İZMİR,BORNOVA,-,FEVZİ PAŞA,27.201307631586,38.416959286566
İZMİR,BORNOVA,-,ÇİÇEKLİ,27.28446008095,38.499091949083
İZMİR,BORNOVA,-,4178/1,27.204819592929,38.429765223832
İZMİR,BORNOVA,-,7058,27.273339252155,38.429298297137
İZMİR,BORNOVA,-,1236,27.267646232085,38.458749139546
İZMİR,BORNOVA,-,4263,27.1969606349,38.427752225931
İZMİR,BORNOVA,-,KAYADİBİ,27.238386279887,38.517038809362
İZMİR,BORNOVA,-,127/9,27.254406272851,38.473245050509
İZMİR,BORNOVA,-,KAVAKLIDERE,27.314924010314,38.45029823097
İZMİR,BORNOVA,-,6241,27.210174551557,38.438498184825
İZMİR,BORNOVA,-,MUSTAFA KEMAL,27.211443501967,38.464095054085
İZMİR,BORNOVA,-,6093,27.232878460627,38.425156276982
İZMİR,BORNOVA,-,1432,27.254083311877,38.45084516596
İZMİR,BORNOVA,-,4720,27.188437701091,38.413551291262
İZMİR,BORNOVA,-,KEMALPAŞA CAD. VE YENER CAD. KESİŞİMİ (ŞEHİTLER ORTAOKULU),27.203746605907,38.425303245758
İZMİR,BORNOVA,-,BURAK REİS CAD. VE 5137 SK. KESİŞİMİ (SIDIKA RODOP LİSESİ),27.18823066158,38.437963164209
İZMİR,BORNOVA,-,FİLİZ SK,27.275449046646,38.546938694077
İZMİR,BORNOVA,-,5058/2 SK. VE 5058/7 SK. KESİŞİMİ,27.192862631532,38.441971148348
İZMİR,BORNOVA,-,2004,27.304224533284,38.447826371892
İZMİR,BORNOVA,-,KURUDERE MAH. MEYDANI,27.252597436972,38.546965822505
İZMİR,BORNOVA,-,KEMALPAŞA MAH. MUHTARLIĞI PARKI - 7058/1 SOKAK VE 7058/3 SOKAK ARASI,27.274486203834,38.431081494719
İZMİR,BORNOVA,-,GÖKDERE İLKÖĞRETİM OKULU BAHÇESİ - ÇİĞDEM SOKAK VE AKGÜL SOKAK KESİŞİMİ,27.24064531526,38.377797715237
İZMİR,BORNOVA,-,467 SOKAK VE 477 SOKAK KESİŞİMİ,27.218696102792,38.472028827147
İZMİR,BORNOVA,-,981 SOKAK VE 974 SOKAK KESİŞİMİ,27.204708496638,38.487429926518
İZMİR,BORNOVA,-,AHMET ARVASİ CAD. VE 1022 SOKAK KESİŞİMİ,27.214853442805,38.489355927096
İZMİR,BORNOVA,-,LAKA SADİYE ERDEMLİ İLKOKULU - KARANFİL SOKAK VE GÜL SOKAK KESİŞİMİ,27.189535762211,38.486148961873
İZMİR,BORNOVA,-,BORNOVA ANADOLU LİSESİ VE ÇEVRESİ - ORD. PROF. DR. MUHİDDİN EREL CAD.,27.221715289047,38.45029931617
İZMİR,BORNOVA,-,7523 SOKAK VE 7524 SOKAK KESİŞİMİ,27.233341428105,38.443527182848
İZMİR,BORNOVA,-,YAKA MAH. MEYDANI,27.322662870157,38.511904922393
İZMİR,BORNOVA,-,7408/2 SOKAK,27.25324033409,38.440235219619
İZMİR,BORNOVA,-,SANAT CAD.,27.183325996345,38.427390123084
İZMİR,BORNOVA,-,KANDERE PARKI - 4310 SOKAK VE 4323 SOKAK KESİŞİMİ,27.195798648839,38.423316248287
İZMİR,BORNOVA,-,BEHÇET UZ REKREASYON ALANI - 5746 SOKAK VE 5748 SOKAK KESİŞİMİ,27.18455438394,38.419998725484
İZMİR,BORNOVA,-,FORUM BORNOVA - 372 SOKAK,27.212691110347,38.449434613852
İZMİR,BORNOVA,-,IŞIKKENT MERKEZ MEYDANI - ALP CAD. VE 6028 SOKAK KESİŞİMİ,27.230871231813,38.424695266884
İZMİR,BORNOVA,-,5460 SOKAK,27.196601627711,38.433244197342
İZMİR,BORNOVA,-,BEŞYOL MAH. PARKI - BEŞYOL MAH. MEYDANI,27.291619400751,38.532869443417
İZMİR,BORNOVA,-,954 SOKAK VE 956 SOKAK KESİŞİMİ,27.199915524271,38.4851919327
İZMİR,BORNOVA,-,BORNOVA KENT MEYDANI - FEVZİ ÇAKMAK CAD. VE KAZIM KARABEKİR CAD. KESİŞİMİ,27.219078461825,38.465558053845
İZMİR,BORNOVA,-,EĞRİDERE MAH. MEYDANI,27.216968820539,38.500069740246
İZMİR,BORNOVA,-,YILDIRIM BEYAZIT CAD. VE 5006 SOKAK KESİŞİMİ,27.184600676245,38.439563152624
İZMİR,BORNOVA,-,ÇAMİÇİ MAH. MEYDANI,27.221481365845,38.515713798342
İZMİR,BORNOVA,-,ÇAMDİBİ ATATÜRK PARKI - 5331 SOKAK VE 5332 SOKAK KESİŞİMİ,27.196757921217,38.436128162246
İZMİR,BORNOVA,-,1201,27.268141238255,38.453362167471
İZMİR,BORNOVA,-,KARAÇAM CAD. VE DOĞAN SOKAK ARASI,27.272768209463,38.518924513522
İZMİR,BORNOVA,-,4226,27.220011508854,38.428085193083
