il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İZMİR,BUCA,-,ONAT,27.153127993337,38.395508826083
İZMİR,BUCA,-,242/26,27.173473846422,38.371423493728
İZMİR,BUCA,-,504,27.148660718739,38.391072045093
İZMİR,BUCA,-,ATATÜRK,27.234133568416,38.356529633311
İZMİR,BUCA,-,TÜRKMENİSTAN,27.196288107018,38.401970646531
İZMİR,BUCA,-,1084,27.181407362151,38.39176928001
İZMİR,BUCA,-,KOŞU YOLU,27.151328929942,38.388036384392
İZMİR,BUCA,-,271,27.160737893154,38.381367428924
İZMİR,BUCA,-,FORBES SOKAK,27.161306879827,38.387851395568
İZMİR,BUCA,-,621 SOKAK,27.143024984327,38.379730418977
İZMİR,BUCA,-,4009 SOKAK VE 4016 SOKAK KESİŞİMİ (KOOPERATİF BAHÇESİ),27.28268920278,38.286826999609
İZMİR,BUCA,-,YAVUZ SULTAN SELİM CAD. VE 1311 SOKAK KESİŞİMİ,27.184071751723,38.396291375528
İZMİR,BUCA,-,677/1 SOKAK VE 677/8 SOKAK ARASI,27.139787759074,38.359238209478
İZMİR,BUCA,-,HÜRRİYET MAH. MUHTARLIK BİNASI ÖNÜ - 489/1 SOKAK,27.145480524186,38.397097603519
İZMİR,BUCA,-,288/22 SOKAK ATATÜRK ORTAOKULU,27.148206968195,38.374460451479
İZMİR,BUCA,-,MUHTAR MUSTAFA İTMEÇ PARKI - 391 SOKAK,27.149375929391,38.393802352826
İZMİR,BUCA,-,293/62 SOKAK,27.163155902974,38.368741496964
İZMİR,BUCA,-,1250,27.200707664349,38.399198378191
İZMİR,BUCA,-,694/47 SOKAK,27.150513086649,38.358172609801
İZMİR,BUCA,-,2364,27.228836604648,38.348528326199
İZMİR,BUCA,-,ÖZMEN CAD. VE 221 SOKAK ARASI,27.174332632298,38.381977621607
İZMİR,BUCA,-,638 SOKAK VE 640 SOKAK ARASI,27.143800665707,38.371866388634
İZMİR,BUCA,-,637/16 SOKAK VE 637/35 SOKAK ARASI,27.147313978194,38.370833469173
