il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İZMİR,FOÇA,-,8 SOKAK VE 13 SOKAK KESİŞİMİ,26.752700430406,38.662609542686
İZMİR,FOÇA,-,ŞEHİT ER VELİ YILMAZ,26.854199869761,38.69570948591
İZMİR,FOÇA,-,YENİKÖY KÖYÜ KÜME EVLER,26.901999644488,38.690109566673
İZMİR,FOÇA,-,İZMİR,26.837999871833,38.738809249453
İZMİR,FOÇA,-,NENE HATUN,26.897147690261,38.733380582281
İZMİR,FOÇA,-,ILIPINAR KÖYÜ KÜME EVLER,26.918800269678,38.68570656483
İZMİR,FOÇA,-,333. SOKAK VE 32/1 SOKAK KESİŞİMİ,26.855199928998,38.659509672106
İZMİR,FOÇA,-,ATILGAN SOKAK  VE KIZILIRMAK SOKAK KESİŞİMİ,26.826499908356,38.750009179625
İZMİR,FOÇA,-,YENİFOÇA CADDESİ VE 1005. SOKAK KESİŞİMİ,26.842999982284,38.663509637702
İZMİR,FOÇA,-,KOZBEYLİ PAZAR ALANI,26.894499635373,38.715909427132
İZMİR,FOÇA,-,ADNAN MENDERES VE 11 EYLÜL CADDESİ KESİŞİMİ,26.907099684898,38.65250976436
İZMİR,FOÇA,-,522.SOKAK VE FATİH CADDESİ KESİŞİMİ,26.903999703428,38.651109768029
İZMİR,FOÇA,-,408 SOKAK VE 3. SOKAK KESİŞİMİ,26.85289994232,38.658509674704
İZMİR,FOÇA,-,MERSİNAKİ CADDESİ VE 280 SOKAK KESİŞİMİ,26.746300427769,38.681209440643
İZMİR,FOÇA,-,169,26.756300396482,38.671009503558
İZMİR,FOÇA,-,DEĞİRMENDERE CADDESİ VE ALİ STAİR CADDESİ KESİŞİMİ,26.831699892153,38.745109210598
İZMİR,FOÇA,-,ZAFER,26.892337079909,38.73153672978
İZMİR,FOÇA,-,333. SOKAK VE 32/1 SOKAK KESİŞİMİ,26.856099921933,38.660809666288
İZMİR,FOÇA,-,180,26.756800397776,38.66930951311
İZMİR,FOÇA,-,54 SOKAK VE 53 SOKAK KESİŞİMİ,26.745800462805,38.663009533043
İZMİR,FOÇA,-,4/1 SOKAK VE 2/3 SOKAK ARASI,26.846999973806,38.657209674255
İZMİR,FOÇA,-,ÇİLLER MEYDANI,26.903099708247,38.650609769241
İZMİR,FOÇA,-,ORHANGAZİ CADDESİ VE KÖŞK SOKAK KESİŞİMİ,26.841999849482,38.740809243761
İZMİR,FOÇA,-,YENİFOÇA CADDESİ VE FUTBOL SAHASI YANI,26.84209998347,38.66540962771
İZMİR,FOÇA,-,MERSİNAKİ CADDESİ VE 320 SOKAK KESİŞİMİ,26.735000453122,38.697809343715
İZMİR,FOÇA,-,NERGİS SOKAK VE SARDUNYA SOKAK KESİŞİMİ,26.83359986939,38.752309175605
İZMİR,FOÇA,-,FOÇA İZMİR KARAYOLU SOKAK VE 401. SOKAK ARASI,26.85129995002,38.658909670081
İZMİR,FOÇA,-,199,26.7559004044,38.668009518651
İZMİR,FOÇA,-,AVNİ ARBAŞ SOKAK İLE AŞIKLAR CADDESİ ARASI,26.752700421352,38.667309518429
İZMİR,FOÇA,-,1003,26.839999999451,38.662009642647
İZMİR,FOÇA,-,HALİDE EDİP ADIVAR CADDESİ VE BARBOROS CADDESİ KESİŞİMİ,26.857299761996,38.747709224774
İZMİR,FOÇA,-,422.SOKAK VE 20.SOKAK KESİŞİMİ,26.847899962792,38.66070965782
İZMİR,FOÇA,-,342. SOKAK VE 340. SOKAK KESİŞİMİ,26.733700472628,38.690709378356
İZMİR,FOÇA,-,SARDUNYA,26.830399886561,38.751409176833
İZMİR,FOÇA,-,ZAFER CADDESİ VE DİLEK CADDESİ   KESİŞİMİ,26.889099635863,38.730409348057
İZMİR,FOÇA,-,99. SOKAK VE 101 . SOKAK KESİŞİMİ,26.764500377755,38.658909574984
İZMİR,FOÇA,-,211,26.755700406583,38.667209522907
İZMİR,FOÇA,-,KAZANCILI MEVKİİ KÜME EVLER,26.841300000502,38.657809665415
İZMİR,FOÇA,-,HALİDE EDİP ADIVAR CADDESİ VE  VOLKAN  KESİŞİMİ,26.860899741144,38.749409220183
İZMİR,FOÇA,-,MERSİNAKİCADDESİ VE 165 SOKAK KESİŞİMİ,26.756600391053,38.673109494017
İZMİR,FOÇA,-,DEĞİRMENLİK,26.755400410638,38.665809529637
İZMİR,FOÇA,-,1012,26.843699979593,38.663309639462
İZMİR,FOÇA,-,MEHMETÇİK CADDESİ VE ZAMAN SOKAK KESİŞİMİ,26.83789987593,38.736909259142
İZMİR,FOÇA,-,MERSİNAKİCADDESİ VE 169 SOKAK KESİŞİMİ,26.757700390832,38.67050950849
İZMİR,FOÇA,-,CENNET,26.834599907845,38.728009300464
İZMİR,FOÇA,-,SAĞLIK OCAĞI ARKASI 126.SOKAK,26.759000400078,38.661909553396
İZMİR,FOÇA,-,MİMOZA SOKAK VE PALMİYE SOKAK KESİŞİMİ,26.818500126244,38.650409678002
İZMİR,FOÇA,-,198,26.753800402683,38.674609482448
İZMİR,FOÇA,-,ASLI,26.838007720424,38.73437382903
İZMİR,FOÇA,-,ORUÇ REİS CADDESİ VE SADULLAH SEVER CADDESİ KESİŞİMİ,26.833099899748,38.736909253129
İZMİR,FOÇA,-,NAZIM HİKMET CADDESİ VE MALİYECİLER CADDESİ KESİŞİMİ,26.836299888764,38.73410927081
