il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İZMİR,GAZİEMİR,-,FERİDUN PÖZÜT,27.130592232732,38.319220791162
İZMİR,GAZİEMİR,-,541,27.144176046503,38.339383629497
İZMİR,GAZİEMİR,-,1045/1,27.174134973621,38.293914896852
İZMİR,GAZİEMİR,-,28/27,27.131995124934,38.329368668458
İZMİR,GAZİEMİR,-,196,27.129505089067,38.35794851743
İZMİR,GAZİEMİR,-,800,27.104704893311,38.336675343294
İZMİR,GAZİEMİR,-,GÜNLÜK PARKI - 80 SOKAK VE 80/8 SOKAK ARASI,27.138819128648,38.307035792093
İZMİR,GAZİEMİR,-,ŞHT. K. PLT. TEĞ. GÜRHAN BORAN PARKI - 96 SOKAK VE 98 SOKAK KESİŞİMİ,27.126666109067,38.328382846748
İZMİR,GAZİEMİR,-,SARNIÇ REKREASYON ALANI - 1010 SOKAK VE 1012 SOKAK KESİŞİMİ,27.167828005445,38.293350893723
İZMİR,GAZİEMİR,-,AHMET TANER KIŞLALI SPOR SALONU ÇEVRESİ -  GAZİ ATATÜRK BULVARI,27.138433377636,38.315263028657
İZMİR,GAZİEMİR,-,SARNIÇ PİKNİK ALANI - ÇAMLIK CAD.,27.175730962673,38.307333868535
İZMİR,GAZİEMİR,-,9 EYLÜL PİKNİK ALANI -KAHRAMANLAR CAD. VE 332 SOKAK ARASI,27.138501092102,38.329247676128
İZMİR,GAZİEMİR,-,351 SOKAK,27.134624193426,38.348995036518
İZMİR,GAZİEMİR,-,AKTEPE MAH.YENİ PAZAR YERİ 127 SOKAK,27.125382114114,38.35519852739
İZMİR,GAZİEMİR,-,YEŞİL MAHALLESİ TOPLUM SAĞLIĞI MERKEZİ 43/2 SOKAK,27.123432186174,38.318317717023
İZMİR,GAZİEMİR,-,HÜRRİYET MAH.ÇAMLIK CADDESİ,27.180805927056,38.301669864059
İZMİR,GAZİEMİR,-,666,27.140356379262,38.305729521472
İZMİR,GAZİEMİR,-,ORHANGAZİ,27.138945102148,38.322421712296
İZMİR,GAZİEMİR,-,28/25 SOKAK VE 28/27 SOKAK ARASI,27.131083129862,38.32943766758
İZMİR,GAZİEMİR,-,OSMAN TANSU ÇELİKEL PARKI - ATATÜRK CAD. VE 1183/1 SOKAK KESİŞİMİ,27.158857110012,38.304859069801
İZMİR,GAZİEMİR,-,63,27.133933117836,38.318922223166
İZMİR,GAZİEMİR,-,CUMHURİYET MEYDANI - BÜYÜK MENDERES CAD.,27.174462964994,38.297896876723
İZMİR,GAZİEMİR,-,516,27.143062816102,38.340525690042
İZMİR,GAZİEMİR,-,IRMAK MAH. PAZAR YERİ - 38/2 SOKAK,27.122219174633,38.328588662542
İZMİR,GAZİEMİR,-,1099,27.169868535373,38.301669263021
İZMİR,GAZİEMİR,-,GAZİ ATATÜRK,27.136555390516,38.315916907121
İZMİR,GAZİEMİR,-,AKÇAY,27.137125106774,38.324728698127
İZMİR,GAZİEMİR,-,GÜVEN PARKI - 667 SOKAK VE 669 SOKAK ARASI,27.140904116256,38.307704790441
İZMİR,GAZİEMİR,-,ÜÇ FİDAN PARKI - EVKA-7 YOLU SOKAK VE 38 SOKAK KESİŞİMİ,27.120816180188,38.329437656737
İZMİR,GAZİEMİR,-,BEYAZ EVLER PARKI 2 - 544/1 SOKAK VE 516 SOKAK ARASI,27.142439052279,38.341375617571
İZMİR,GAZİEMİR,-,SARNIÇ FUTBOL SAHASI - 1046 SOKAK,27.176138967759,38.29117691394
İZMİR,GAZİEMİR,-,SAĞLIK KÖYÜ ÇEVRESİ - 544 SOKAK VE 555/1 SOKAK ARASI,27.14379304264,38.343201609657
İZMİR,GAZİEMİR,-,64 SOKAK VE 71 SOKAK KESİŞİMİ,27.135510125939,38.31829873029
İZMİR,GAZİEMİR,-,ESKİ ŞANTİYE ALANI - NEVVAR SALİH İŞGÖREN CAD.,27.13457214445,38.310127772038
İZMİR,GAZİEMİR,-,GAZİEMİR SPOR SALONU ÇEVRESİ - 651/1 SOKAK,27.12936847411,38.312912443528
İZMİR,GAZİEMİR,-,556,27.146173029458,38.34419660624
İZMİR,GAZİEMİR,-,6 SOKAK VE 60 SOKAK KESİŞİMİ,27.131117146887,38.318800722575
İZMİR,GAZİEMİR,-,PROF. DR. TÜRKAN SAYLAN,27.13236313938,38.319800719195
İZMİR,GAZİEMİR,-,"GAZETECİLER PARKI - PİRENLİK MEVKİİ, 951 SOKAK",27.131287966636,38.303087522436
İZMİR,GAZİEMİR,-,ADALET TEPESİ - 651/1 SOKAK,27.130465326945,38.311870257447
İZMİR,GAZİEMİR,-,PROF. DR. TÜRKAN SAYLAN CAD. VE 56 SOKAK KESİŞİMİ,27.133535138229,38.316803735716
