il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İZMİR,GÜZELBAHÇE,-,GAZİ,26.923365699402,38.316274949238
İZMİR,GÜZELBAHÇE,-,900,26.881151262135,38.355706063432
İZMİR,GÜZELBAHÇE,-,59,26.899865404847,38.377898850322
İZMİR,GÜZELBAHÇE,-,ESKİ KÜÇÜKKAYA,26.896410153946,38.333336787752
İZMİR,GÜZELBAHÇE,-,ŞEHİT İLHAMİ YILMAZ,26.870903011778,38.341014884104
İZMİR,GÜZELBAHÇE,-,490,26.876940336771,38.367537198566
İZMİR,GÜZELBAHÇE,-,616,26.894548106941,38.36170017593
İZMİR,GÜZELBAHÇE,-,MAREŞAL FEVZİ ÇAKMAK,26.867313983672,38.338268528973
İZMİR,GÜZELBAHÇE,-,12,26.922091084474,38.382628169123
İZMİR,GÜZELBAHÇE,-,KAZIM DİRİK,26.886827296886,38.361908238476
İZMİR,GÜZELBAHÇE,-,368,26.873864734142,38.373821776898
İZMİR,GÜZELBAHÇE,-,UFUK,26.820108693668,38.326811349115
İZMİR,GÜZELBAHÇE,-,ŞEHİT KEMAL,26.88399072863,38.3608648102
İZMİR,GÜZELBAHÇE,-,346,26.87725638564,38.372841555447
İZMİR,GÜZELBAHÇE,-,338,26.875948874401,38.371545998529
İZMİR,GÜZELBAHÇE,-,148,26.897060882761,38.377024569726
İZMİR,GÜZELBAHÇE,-,3,26.920431715079,38.382230280002
İZMİR,GÜZELBAHÇE,-,SEVGİ,26.896021689407,38.330606529594
İZMİR,GÜZELBAHÇE,-,555,26.889078292652,38.358208260764
İZMİR,GÜZELBAHÇE,-,271,26.881108320896,38.364841217458
İZMİR,GÜZELBAHÇE,-,2283,26.866919649613,38.337969509244
İZMİR,GÜZELBAHÇE,-,YARENDEDE,26.896810248726,38.364334558022
İZMİR,GÜZELBAHÇE,-,221,26.869888371003,38.373221215427
İZMİR,GÜZELBAHÇE,-,GAZİ,26.924032187022,38.317858507964
İZMİR,GÜZELBAHÇE,-,MAREŞAL FEVZİ ÇAKMAK,26.864122186359,38.332545239493
İZMİR,GÜZELBAHÇE,-,MİTHAT ÜNAL,26.8787820904,38.350497035637
İZMİR,GÜZELBAHÇE,-,2305,26.864339181924,38.335803309215
İZMİR,GÜZELBAHÇE,-,20,26.919235376865,38.382076738646
İZMİR,GÜZELBAHÇE,-,MAREŞAL FEVZİ ÇAKMAK,26.869814314161,38.339734923236
İZMİR,GÜZELBAHÇE,-,MİTHAT ÜNAL,26.877471732309,38.349748908367
İZMİR,GÜZELBAHÇE,-,488,26.881950317709,38.364110221744
İZMİR,GÜZELBAHÇE,-,627,26.886708305807,38.357557260938
İZMİR,GÜZELBAHÇE,-,İ.TARIK SARI,26.8941312352,38.376575170164
İZMİR,GÜZELBAHÇE,-,MAREŞAL FEVZİ ÇAKMAK BULVARI VE 440 SOKAK KESİŞİMİ,26.85881282629,38.37230892104
İZMİR,GÜZELBAHÇE,-,625,26.885976309677,38.357411261096
İZMİR,GÜZELBAHÇE,-,İNÖNÜ,26.865891672576,38.33922991216
İZMİR,GÜZELBAHÇE,-,26,26.91811611058,38.381563826866
İZMİR,GÜZELBAHÇE,-,196,26.890554705788,38.376559739264
İZMİR,GÜZELBAHÇE,-,MİTHAT ÜNAL,26.871945745761,38.352992980272
İZMİR,GÜZELBAHÇE,-,462,26.86398098706,38.367276317826
İZMİR,GÜZELBAHÇE,-,488,26.885009304548,38.362783232684
İZMİR,GÜZELBAHÇE,-,425,26.886604296451,38.362720234266
İZMİR,GÜZELBAHÇE,-,2265,26.866333282123,38.338944933151
İZMİR,GÜZELBAHÇE,-,743,26.870473388713,38.356247250696
İZMİR,GÜZELBAHÇE,-,31,26.911879417713,38.379517866302
İZMİR,GÜZELBAHÇE,-,101,26.889080048797,38.376262299088
İZMİR,GÜZELBAHÇE,-,2356,26.865967861937,38.340816453745
İZMİR,GÜZELBAHÇE,-,54,26.913006304788,38.379757945859
İZMİR,GÜZELBAHÇE,-,MÜZEYYEN SENAR,26.885568300122,38.363989226915
İZMİR,GÜZELBAHÇE,-,882,26.877496665728,38.365819929308
İZMİR,GÜZELBAHÇE,-,119,26.887740301168,38.375461951059
İZMİR,GÜZELBAHÇE,-,İSTİKBAL,26.890025199654,38.36185488699
İZMİR,GÜZELBAHÇE,-,ŞEHİT KEMAL,26.881732146905,38.363009889925
İZMİR,GÜZELBAHÇE,-,2487,26.862937543399,38.341406985427
İZMİR,GÜZELBAHÇE,-,125,26.884786906084,38.375169764865
İZMİR,GÜZELBAHÇE,-,35,26.909447354627,38.378952917636
İZMİR,GÜZELBAHÇE,-,518,26.881289291687,38.361883601179
İZMİR,GÜZELBAHÇE,-,139,26.883884865793,38.376121987232
İZMİR,GÜZELBAHÇE,-,2185,26.866611178534,38.343617588765
İZMİR,GÜZELBAHÇE,-,MEHMETÇİK,26.903294569961,38.377940811489
İZMİR,GÜZELBAHÇE,-,ATA,26.881883025631,38.359829766393
İZMİR,GÜZELBAHÇE,-,94,26.906366934307,38.37920887918
İZMİR,GÜZELBAHÇE,-,2185,26.86608007056,38.343655359093
İZMİR,GÜZELBAHÇE,-,296,26.879173960059,38.374558428773
