il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İZMİR,KARABURUN,-,HASSEKİ,26.415429093542,38.664281150902
İZMİR,KARABURUN,-,BOZKÖY KÜMEEVLER,26.468822844085,38.656688251693
İZMİR,KARABURUN,-,MUSTAFA KEMAL ATATÜRK SOKAK,26.519618654629,38.623329480904
İZMİR,KARABURUN,-,İSKELE MAH. MEYDANI - 2306 SOKAK - BODRUM CAD. VE 2302 SOKAK KESİŞİMİ,26.522007276551,38.633120566802
İZMİR,KARABURUN,-,CUMHURİYET MEYDANI,26.509756679144,38.636269402982
İZMİR,KARABURUN,-,DENİZGİREN KÜMEEVLER,26.373749105529,38.564344334602
İZMİR,KARABURUN,-,KÖSEDERE KÜMEEVLER,26.552889629676,38.54764190738
İZMİR,KARABURUN,-,İNECİK KÜMEEVLER,26.565322551111,38.550087367661
İZMİR,KARABURUN,-,EĞLENHOCA KÜMEEVLER,26.56910404052,38.542815464314
İZMİR,KARABURUN,-,ANBARSEKİ KÜMEEVLER,26.523659652687,38.614038532974
İZMİR,KARABURUN,-,SALMAN DENİZGİREN KÜMEEVLER,26.368396504202,38.570642575927
İZMİR,KARABURUN,-,TEPEBOZ,26.447220942379,38.661077204453
İZMİR,KARABURUN,-,YAYLA KÜMEEVLER,26.45508506638,38.574332657716
İZMİR,KARABURUN,-,SARPINCIK KÜMEEVLER,26.402799349558,38.654130056365
İZMİR,KARABURUN,-,PARLAK TARLAİÇİ,26.395201331565,38.611797375704
İZMİR,KARABURUN,-,İNÖNÜ CAD.,26.621281910978,38.506188770674
İZMİR,KARABURUN,-,İNECİK,26.563890558885,38.556498874244
İZMİR,KARABURUN,-,YENİLİMAN KÜMEEVLER,26.441416858316,38.672176121403
İZMİR,KARABURUN,-,KARAREİS KÖYÜ KÜMEEVLER,26.421202379451,38.497010016778
İZMİR,KARABURUN,-,PALMİYE,26.606890397657,38.528010069821
İZMİR,KARABURUN,-,1200,26.500112700022,38.650669318823
İZMİR,KARABURUN,-,ANBARSEKİ KÜMEEVLER,26.522122820506,38.613919153115
İZMİR,KARABURUN,-,ÇATALKAYA KÜME EVLER,26.609223437613,38.500010216625
