il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İZMİR,KEMALPAŞA,-,KEMALPAŞA STADI CAD. VE 145 SOKAK ARASI,27.416142238495,38.430132364501
İZMİR,KEMALPAŞA,-,AKEVLER CAD. VE KONAK SOKAK KESİŞİMİ,27.44973829248,38.4592364522
İZMİR,KEMALPAŞA,-,2001,27.513563109559,38.397325704509
İZMİR,KEMALPAŞA,-,4004,27.398297752546,38.3415034306
İZMİR,KEMALPAŞA,-,SAMİ ÖREN,27.622290087235,38.411486392433
İZMİR,KEMALPAŞA,-,GÖKÇEYURT KÖY YOLU,27.684835203601,38.433829682488
İZMİR,KEMALPAŞA,-,YEŞİLYURT MAH. MUHTARLIĞI ÖNÜ -KÖY İÇİ YOLU,27.675193385057,38.428147554391
İZMİR,KEMALPAŞA,-,SARIÇALI MAH. MEYDANI - SARIÇALI MAH. KÜMEEVLER,27.695048978509,38.440632280718
İZMİR,KEMALPAŞA,-,BEŞPINAR MAH. KÜMEEVLER MEYDANI,27.454012209617,38.518348021758
İZMİR,KEMALPAŞA,-,UÇAK SOKAK,27.53662932222,38.405510740496
İZMİR,KEMALPAŞA,-,MUSTAFA KEMAL ATATÜRK CAD.,27.666862195677,38.439859451301
İZMİR,KEMALPAŞA,-,GAZİ MUSTAFA KEMAL CAD. VE ESKİ OKUL SOKAK KESİŞİMİ,27.597507647001,38.409269072598
İZMİR,KEMALPAŞA,-,9514 SOKAK,27.376627997399,38.497897922931
İZMİR,KEMALPAŞA,-,9116 SOKAK,27.355377773433,38.472032160789
İZMİR,KEMALPAŞA,-,BAYRAMLI MAH. KÜMEEVLER MEYDANI,27.53733011048,38.32184011867
İZMİR,KEMALPAŞA,-,ANSIZCA İLKOKULU YANI - KÖY İÇİ YOLU,27.403811518539,38.481158162536
İZMİR,KEMALPAŞA,-,CUMHURİYET MAH. YOLU,27.479886171984,38.46245033448
İZMİR,KEMALPAŞA,-,PARK CAD. VE HAMAM SOKAK ARASI,27.532411003329,38.404824683983
