il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İZMİR,KINIK,-,BAĞIMSIZLIK,27.307917977482,39.086265008044
İZMİR,KINIK,-,ÖRTÜLÜ MAH. MEYDANI - ÇARŞI SOKAK,27.346964360582,38.962725153762
İZMİR,KINIK,-,SERİN KUYU,27.435980657419,39.016939176335
İZMİR,KINIK,-,ŞEHİT HALİL BALYA,27.379732862134,39.087527613211
İZMİR,KINIK,-,KUŞKAYA,27.466225284581,39.045261373528
İZMİR,KINIK,-,ÜÇARMUT,27.422864213502,39.060866252304
İZMİR,KINIK,-,ESKİ OKUL BAHÇESİ - AŞAĞI KÜMEEVLER,27.298632646005,39.066647352039
İZMİR,KINIK,-,ESKİ OKUL BAHÇESİ - MUSTAFA KEMAL KÜMEEVLER,27.274513353725,39.03521696956
İZMİR,KINIK,-,MADEN ŞEHİTLERİ PARKI - GAZİ PAŞA CAD.,27.382894532397,39.085398957517
İZMİR,KINIK,-,KODUKBURUN MAH. MEYDANI - GODUKLU KÜMEEVLER,27.346062971814,39.040863161346
İZMİR,KINIK,-,ATATÜRK MEYDANI,27.5012041177,39.044441412626
İZMİR,KINIK,-,İLKOKUL BAHÇESİ - ÖĞRETMEN KÜMEEVLER,27.445418296673,39.098277089852
İZMİR,KINIK,-,CUMHURİYET,27.382277702296,39.086352338455
İZMİR,KINIK,-,SUCAHLI MAH. MEYDANI,27.287010095336,39.076066036633
İZMİR,KINIK,-,İLKOKUL BAHÇESİ - ASMALI KÜMEEVLER,27.485045667264,39.029583748028
İZMİR,KINIK,-,İLKOKUL BAHÇESİ - OKUL YOLU KÜMEEVLER,27.324585819018,39.080952136957
İZMİR,KINIK,-,ATATÜRK  MEYDANI - BERGAMA CAD.,27.34902896151,39.090558800396
İZMİR,KINIK,-,TOPLU KONUTLAR PARKI - TOPLU KONUT KÜMEEVLER,27.370460474181,39.090559922766
İZMİR,KINIK,-,MUSACALI MAH. MEYDANI - MİMOZA CAD.,27.238886394524,39.037360178407
İZMİR,KINIK,-,İLKOKUL BAHÇESİ - KEMAL ATATÜRK KÜMEEVLER,27.383369714388,39.027301377826
İZMİR,KINIK,-,İLKOKUL BAHÇESİ - DOST KÜMEEVLER,27.373653349857,39.012322187599
İZMİR,KINIK,-,ESKİ OKUL BAHÇESİ - İLKÖĞRETİM SOKAK,27.46295484824,39.123654610251
İZMİR,KINIK,-,MEMURSEN PARKI - DOĞAN SOKAK,27.384660600382,39.091051063074
İZMİR,KINIK,-,ESKİ OKUL BAHÇESİ - YAYAKENT CAD.,27.304412074121,39.101779531288
İZMİR,KINIK,-,ESKİ OKUL BAHÇESİ - BAŞKOMUTAN ATATÜRK CAD.,27.44945630052,39.083895164573
İZMİR,KINIK,-,CUMALI MAH. MEYDANI - BALYA CAD.,27.475438921135,39.133458180146
İZMİR,KINIK,-,HALI SAHA ALANI- SÖĞÜTALAN KÜMEEVLER,27.319885603918,38.999209341078
İZMİR,KINIK,-,KARADERE MAH. MEYDANI - CAMİ ÖNÜ KÜMEEVLER,27.45111858391,38.96615918609
İZMİR,KINIK,-,ESKİ OKUL BAHÇESİ - İBRAHİMAĞA MAH. MEYDANI - KAYIN KÜMEEVLER,27.260547958494,39.011508022888
İZMİR,KINIK,-,İLKOKUL BAHÇESİ - ŞİİR KÜMEEVLER,27.465606418663,39.105285460221
İZMİR,KINIK,-,GÖLCÜK HAMAM SOKAK,27.383596619121,39.083208100514
İZMİR,KINIK,-,ESKİ OKUL BAHÇESİ - ATEŞ SOKAK,27.261972645274,39.063270038644
İZMİR,KINIK,-,İLKOKUL BAHÇESİ - MEDENİYET KÜMEEVLER,27.424193418838,39.085980128357
İZMİR,KINIK,-,İLKOKUL BAHÇESİ - DEDELİ SOKAK,27.485004087841,39.109342074779
İZMİR,KINIK,-,CEMEVİ ÇEVRESİ - FUNDA KÜMEEVLER,27.491239017177,39.095803308682
İZMİR,KINIK,-,İLKOKUL BAHÇESİ - ARKADAŞ KÜMEEVLER,27.462015521988,38.998733682655
İZMİR,KINIK,-,HALI SAHA ALANI - UYGAR SOKAK,27.513562897456,39.032391117227
İZMİR,KINIK,-,OKUL CADDESİ NO:2,27.348878870446,38.962567384242
İZMİR,KINIK,-,ÖZGÜR,27.307191980125,39.087138002451
İZMİR,KINIK,-,GÖLCÜK KÜME EVLERİ NO:6,27.483796224599,39.030808462844
İZMİR,KINIK,-,BELEDİYE BİNASI ARKASI - HACI ŞABANLAR CAD.,27.349953828766,39.090008758433
İZMİR,KINIK,-,YENİ SANAYİ PARKI - ATATÜRK CAD.,27.371915664408,39.089162059239
İZMİR,KINIK,-,ÇİFTÇİLER LOKALİ - ATATÜRK CAD.,27.385632148163,39.088559673309
İZMİR,KINIK,-,JANDARMA BİNASI ARKASI - PINAR SOKAK,27.378824144563,39.089300757748
