il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İZMİR,KONAK,-,ALSANCAK GAR ÖNÜ (İZBAN GİRİŞİ) - LİMAN CADDESİ,27.148187456328,38.439394688705
İZMİR,KONAK,-,2817,27.176765032686,38.438151116981
İZMİR,KONAK,-,MİTHATPAŞA,27.083259251961,38.398052261052
İZMİR,KONAK,-,1109,27.154745088906,38.415036802514
İZMİR,KONAK,-,NECATİBEY,27.134893365943,38.422973526155
İZMİR,KONAK,-,ADALET,27.169566509841,38.408075575969
İZMİR,KONAK,-,HALİL RIFATPAŞA,27.127102541969,38.416560010061
İZMİR,KONAK,-,YENİDOĞAN PARKI - 1139 SOKAK,27.156889284589,38.417010883334
İZMİR,KONAK,-,İHSAN ALYANAK PARKI - 324 SOKAK,27.117452070286,38.404944261077
İZMİR,KONAK,-,GIDA ÇARŞISI TEKNİK İŞ MERKEZİ ÇEVRESİ PARKI - 1443 SOKAK,27.168430412125,38.429835867369
İZMİR,KONAK,-,TÜLAY AKTAŞ PARKI (ZEYTİNLİK PARKI) - 1163 SOKAK,27.163199357668,38.419515130898
İZMİR,KONAK,-,AGORA PARKI - TARIK SARI SOKAK,27.138724823221,38.418196804561
İZMİR,KONAK,-,İZMİR 9 EYLÜL ROTARY KULÜBÜ PARKI - TOROS CAD.,27.176146106814,38.410834860707
İZMİR,KONAK,-,ABDİ İPEKÇİ PARKI - 285/2 SOKAK,27.11415281752,38.403990407913
İZMİR,KONAK,-,GAZİLER CAD.,27.148633884763,38.422235204952
İZMİR,KONAK,-,246,27.110762254093,38.402551677593
İZMİR,KONAK,-,MİTHATPAŞA,27.107391365253,38.40744737892
İZMİR,KONAK,-,ATATÜRK LİSESİ BAHÇESİ,27.141034250395,38.429848124336
İZMİR,KONAK,-,İŞÇİLER,27.158022211976,38.427249372853
İZMİR,KONAK,-,MUSTAFA RAHMİ BALABAN İLK VE ORTAOKULU,27.181119200438,38.416307599806
İZMİR,KONAK,-,KÜLTÜRPARK (FUAR) - 9 EYLÜL MEYDANI,27.141749721744,38.427707338869
İZMİR,KONAK,-,4/6,27.073737445258,38.397418424491
İZMİR,KONAK,-,NEVZAT GÜZELIRMAK PARKI - NEVZAT GÜZELIRMAK SOKAK,27.15218085522,38.429797169278
İZMİR,KONAK,-,AYDIN ERTEN REKREASYON ALANI - 2630 SOKAK,27.186002508296,38.408535302076
İZMİR,KONAK,-,REKREASYON ALANI - 1186/7 SOKAK,27.179081736092,38.420807243247
İZMİR,KONAK,-,GÖKSEL YAMAN PARKI - BOĞAZİÇİ CAD.,27.170865315369,38.419757240182
İZMİR,KONAK,-,ATATÜRK MEYDANI - YENİ PLEVNE CAD.,27.17409882346,38.416176254159
İZMİR,KONAK,-,GÜRÇEŞME LEMAN ALPTEKİN ORTAOKULU BAHÇESİ,27.150807371891,38.405619384048
İZMİR,KONAK,-,RIDVAN NAZİF EDGÜER ORTAOKULU YANI (ESKİ HAYDAR RÜŞTÜ ÖKTEM ANADOLU LİSESİ),27.159237586712,38.407044782875
İZMİR,KONAK,-,1215,27.157541758666,38.424128056968
İZMİR,KONAK,-,KONAK MUSTAFA KEMAL ATATÜRK MESLEKİ VE TEKNİK ANADOLU LİSESİ,27.157485207385,38.419740336354
İZMİR,KONAK,-,ÇINARLI REKREASYON ALANI,27.178870004462,38.442163490996
İZMİR,KONAK,-,MÜBADELE PARKI - 471 SOKAK VE 487 SOKAK,27.122764433168,38.405875945522
İZMİR,KONAK,-,KIBRIS ŞEHİTLERİ PARKI - KIBRIS ŞEHİTLERİ CADDESİ,27.143457491917,38.438660164922
İZMİR,KONAK,-,ALTINYOL ARKEOLOJİK ALAN - EŞREFPAŞA CAD.,27.131022989518,38.412381237141
İZMİR,KONAK,-,BOĞAZİÇİ ATATÜRK PARKI - 1172 SOKAK,27.166414514862,38.420393645196
İZMİR,KONAK,-,HATUNİYE PARKI - ANAFARTALAR CAD.,27.141573012619,38.420729657558
İZMİR,KONAK,-,DUMLUPINAR ORTAOKULU,27.137302914712,38.406341990807
İZMİR,KONAK,-,ZEKİ MÜREN PARKI,27.123989223301,38.410519653734
İZMİR,KONAK,-,691/2 SOKAK (NO:27-29 KARŞISI),27.141038659024,38.404164870286
