il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İZMİR,KİRAZ,-,İĞDELİ,28.380157153377,38.217940428603
İZMİR,KİRAZ,-,SOLAKLAR,28.34652535574,38.184228575652
İZMİR,KİRAZ,-,AYDOĞDU,28.251580725772,38.240637200114
İZMİR,KİRAZ,-,KARAMAN,28.213436008827,38.168351543537
İZMİR,KİRAZ,-,İLKOKUL BAHÇESİ - ÖREN SOKAK,28.417720964469,38.229692398767
İZMİR,KİRAZ,-,27,28.203207972572,38.229055218667
İZMİR,KİRAZ,-,TUMBULLAR,28.438438979248,38.147520844152
İZMİR,KİRAZ,-,İLKOKUL BAHÇESİ - YENİKÖY SOKAK,28.261552748105,38.190602469667
İZMİR,KİRAZ,-,KÖY KONAĞI BAHÇESİ - SAÇLI SOKAK,28.177619059877,38.254151066032
İZMİR,KİRAZ,-,ULUVELİLER KÜMEEVLER İLKOKUL BAHÇESİ - ULUVELİLER SOKAK,28.193746971666,38.262317037034
İZMİR,KİRAZ,-,İLKOKUL BAHÇESİ - ARKACILAR SOKAK,28.2061389875,38.208472327929
İZMİR,KİRAZ,-,İLKOKUL BAHÇESİ - AKPINAR SOKAK,28.38809426566,38.236595098746
İZMİR,KİRAZ,-,İLKOKUL BAHÇESİ - HALİLLER SOKAK,28.289461622011,38.185991517352
İZMİR,KİRAZ,-,İLKOKUL BAHÇESİ - MAVİDERE SOKAK,28.338948455712,38.13729981369
İZMİR,KİRAZ,-,İLKOKUL BAHÇESİ - YAĞLAR SOKAK,28.203081038263,38.182685459708
İZMİR,KİRAZ,-,İLKOKUL BAHÇESİ - ŞEMSİLER SOKAK,28.218204919819,38.216087299358
İZMİR,KİRAZ,-,İLKOKUL BAHÇESİ - SIRIMLI SOKAK,28.32754547934,38.159373688447
İZMİR,KİRAZ,-,İLKOKUL BAHÇESİ - SARISU SOKAK,28.316550361259,38.282807038811
İZMİR,KİRAZ,-,İLKOKUL BAHÇESİ - OLGUNLAR SOKAK,28.366040294946,38.161915708296
İZMİR,KİRAZ,-,İLKOKUL BAHÇESİ - KARABURÇ SOKAK,28.300879500801,38.234675273488
İZMİR,KİRAZ,-,İLKOKUL BAHÇESİ - KALEKÖY SOKAK,28.295517574529,38.199704451311
İZMİR,KİRAZ,-,SAĞLIK OCAĞI BAHÇESİ - HOCA İBRAHİM EFENDİ CAD. VE ŞÜKRÜ HOCA SOKAK KESİŞİMİ,28.208369943842,38.232514204724
İZMİR,KİRAZ,-,İLKOKUL BAHÇESİ - GEDİK SOKAK,28.150909212377,38.237830126579
İZMİR,KİRAZ,-,İLKOKUL BAHÇESİ - ÇÖMLEKÇİ SOKAK,28.262606673988,38.240548210469
İZMİR,KİRAZ,-,İLKOKUL BAHÇESİ - UZUNKÖY SOKAK,28.235994751371,38.275327007005
İZMİR,KİRAZ,-,İLKOKUL BAHÇESİ - SULUDERE SOKAK,28.233166801178,38.249121140238
İZMİR,KİRAZ,-,İLKOKUL BAHÇESİ - DOĞANCILAR SOKAK,28.453788831818,38.205051557459
İZMİR,KİRAZ,-,İLKOKUL BAHÇESİ - BAŞARAN SOKAK,28.273995594116,38.259320122559
İZMİR,KİRAZ,-,BAHÇELİ KÜMEEVLER İLKOKUL BAHÇESİ - BAHÇELİ SOKAK,28.436142878185,38.230492409977
İZMİR,KİRAZ,-,İLKOKUL BAHÇESİ - YEŞİLDERE SOKAK,28.160512115718,38.272717954249
İZMİR,KİRAZ,-,İLKOKUL BAHÇESİ - YENİŞEHİR SOKAK,28.238206897937,38.162869594245
İZMİR,KİRAZ,-,İLKOKUL BAHÇESİ - UMURCALI SOKAK,28.247119810712,38.195372432193
İZMİR,KİRAZ,-,İLKOKUL BAHÇESİ - SARIKAYA SOKAK,28.353196291319,38.209032451397
İZMİR,KİRAZ,-,İLKOKUL BAHÇESİ - KİBAR SOKAK,28.413988002181,38.214085476962
İZMİR,KİRAZ,-,İLKOKUL BAHÇESİ - ALTINOLUK SOKAK,28.35510526039,38.224568372412
İZMİR,KİRAZ,-,İLKOKUL BAHÇESİ - AHMETLER SOKAK,28.412877145111,38.111527010962
İZMİR,KİRAZ,-,İLKOKUL BAHÇESİ - ÇANAKÇI SOKAK,28.249046040143,38.255157327467
İZMİR,KİRAZ,-,MEHMET AKİF ERSOY CAD.,28.191714026672,38.23028820225
İZMİR,KİRAZ,-,İLKOKUL BAHÇESİ - DOKUZLAR SOKAK,28.147747145552,38.29539582555
İZMİR,KİRAZ,-,İLKOKUL BAHÇESİ - CEVİZLİ SOKAK,28.458032779118,38.230620427996
İZMİR,KİRAZ,-,İLKOKUL BAHÇESİ - KOCACERİTLER SOKAK,28.203716946509,38.245985130818
İZMİR,KİRAZ,-,İLKOKUL BAHÇESİ - PINARBAŞI SOKAK,28.218575844957,38.267761030655
İZMİR,KİRAZ,-,OMANLAR KÜMEEVLER İLKOKUL BAHÇESİ - OMANLAR SOKAK,28.186996988521,38.273130975124
İZMİR,KİRAZ,-,İLKOKUL BAHÇESİ - TAŞLIYATAK SOKAK,28.433221985201,38.160911770141
İZMİR,KİRAZ,-,İLKOKUL BAHÇESİ - TEKBIÇAKLAR SOKAK,28.318509486069,38.184932548044
İZMİR,KİRAZ,-,HÜSEYİN SARI İLKOKULU VE ORTAOKULU BAHÇESİ - CUMHURİYET SOKAK,28.217187902171,38.232024215529
İZMİR,KİRAZ,-,SEKİ KÜMEEVLER İLKOKULU - SEKİ SOKAK,28.174738079302,38.250125083642
İZMİR,KİRAZ,-,İLKOKUL BAHÇESİ - OVACIK SOKAK,28.269416551093,38.305812877868
İZMİR,KİRAZ,-,İLKOKUL BAHÇESİ - KOCAHİSAR SOKAK,28.191872010694,38.24067314834
İZMİR,KİRAZ,-,İLKOKUL BAHÇESİ - AVUNDURUK SOKAK,28.271023713944,38.182942517096
İZMİR,KİRAZ,-,İLKOKUL BAHÇESİ - KARABOLU SOKAK,28.42235906638,38.137575882836
İZMİR,KİRAZ,-,İLKOKUL BAHÇESİ - ÇATAK SOKAK,28.16849104675,38.294913845773
İZMİR,KİRAZ,-,İLKOKUL BAHÇESİ - ÖRENCİK SOKAK,28.391531195382,38.147937802569
İZMİR,KİRAZ,-,İLKOKUL BAHÇESİ - UMURLU SOKAK,28.436385987088,38.121852190828
İZMİR,KİRAZ,-,ZEYTİNALAN KÜMEEVLER İLKOKUL BAHÇESİ - ZEYTİNALAN SOKAK,28.316723447178,38.21932436688
İZMİR,KİRAZ,-,İLKOKUL BAHÇESİ - MERSİNLİDERE SOKAK,28.305136590661,38.155208691309
İZMİR,KİRAZ,-,SARIİMAMLAR KÜMEEVLER İLKOKUL BAHÇESİ - SARIİMAMLAR SOKAK,28.339291374827,38.195425510885
İZMİR,KİRAZ,-,İSTİKLAL İLKOKULU BAHÇESİ - KURTULUŞ CAD. VE SAĞLIK SOKAK KESİŞİMİ,28.208273946566,38.230690214538
İZMİR,KİRAZ,-,FUTBOL SAHASI - MENDERES CAD.,28.20537997065,38.22296825165
İZMİR,KİRAZ,-,TÜTÜZLER KÜMEEVLER İLKOKUL BAHÇESİ - TÜTÜZLER SOKAK,28.174900067707,38.257912043962
İZMİR,KİRAZ,-,KOCAHİSAR,28.186183035331,38.242338134236
İZMİR,KİRAZ,-,ZEYBEKLER KÜMEEVLER İLKOKUL BAHÇESİ - ZEYBEKLER SOKAK,28.385022844144,38.126159804063
İZMİR,KİRAZ,-,PALAMUT ARASI KÜMEEVLER - PALAMUT ARASI SOKAK,28.279210620891,38.22209232101
İZMİR,KİRAZ,-,BAĞARASI KÜMEEVLER İLKOKULU - BAĞARASI SOKAK,28.302319476314,38.2480032056
