il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İZMİR,MENDERES,-,321,27.122865586317,38.25334367585
İZMİR,MENDERES,-,AKÇAKÖY,27.101984397655,38.256625016491
İZMİR,MENDERES,-,7419,27.069785555192,38.259477967698
İZMİR,MENDERES,-,SAKARYA,27.186095337155,38.184292897461
İZMİR,MENDERES,-,KARAKUYU YOLU,27.194858129453,38.136658742509
İZMİR,MENDERES,-,MUSTAFA KEMAL PAŞA,27.096440820842,38.021165250105
İZMİR,MENDERES,-,GÖLOVA,27.242263062402,38.031318346247
İZMİR,MENDERES,-,FİLİZ,27.052297991986,38.052717036738
İZMİR,MENDERES,-,6074,27.036980059965,38.05849598995
İZMİR,MENDERES,-,OVA YOLU,27.138159223619,38.25187707894
İZMİR,MENDERES,-,DEREKÖY,27.113026360222,38.245966083765
İZMİR,MENDERES,-,GAZİ OSMAN PAŞA,27.141061431514,38.118511782049
İZMİR,MENDERES,-,AHMET TANER KIŞLALI,27.131441190492,38.292024862287
İZMİR,MENDERES,-,ÇAKALTEPE,27.211067155488,38.071050104333
İZMİR,MENDERES,-,İNÖNÜ,27.135969880483,38.25566747202
İZMİR,MENDERES,-,6447,26.990413266015,38.076551845234
İZMİR,MENDERES,-,7910,27.108396490997,38.182171413124
İZMİR,MENDERES,-,MUSTAFA KEMAL,27.167087355185,38.091398388559
İZMİR,MENDERES,-,İKİNCİ İNÖNÜ ZAFERİ,27.214870548883,38.242988044045
İZMİR,MENDERES,-,GAZİ MUSTAFA KEMAL PAŞA,27.01616624574,38.069190159298
İZMİR,MENDERES,-,19 MAYIS,27.141280929323,38.264759870522
İZMİR,MENDERES,-,4116,27.235444157797,37.993921537853
İZMİR,MENDERES,-,ATATÜRK,27.130079248738,38.261114022548
İZMİR,MENDERES,-,9504,27.140870629559,38.249382135855
İZMİR,MENDERES,-,7969,27.056363685893,38.222174148723
İZMİR,MENDERES,-,AŞAĞI SANCAKLI,27.169631246322,38.143634679698
İZMİR,MENDERES,-,BIRANDAMI,27.187282319453,38.044925218564
İZMİR,MENDERES,-,MENDERES-ORHANLI YOLU,26.99191706401,38.19101924373
İZMİR,MENDERES,-,MENDERES-GÜMÜLDÜR,27.113017471185,38.1797984305
İZMİR,MENDERES,-,7561 SK. NO:2/1,26.972352013526,38.277856768561
İZMİR,MENDERES,-,İZMİR,27.155831382644,38.103000878692
İZMİR,MENDERES,-,İBRAHİM TURAN,27.134988122633,38.242204056172
İZMİR,MENDERES,-,ATAM BULVARI  NO:20,27.229157792394,38.215047309929
İZMİR,MENDERES,-,7709 SOKAK NO:1,27.186129940773,38.277525995034
İZMİR,MENDERES,-,KARAKUYU,27.234801233423,38.133632120308
İZMİR,MENDERES,-,ZİYA GÖKALP,27.125453224537,38.289672868776
İZMİR,MENDERES,-,MERYEM ANA,27.001297221354,38.070703888144
İZMİR,MENDERES,-,KÜNER,27.124167290993,38.212600611901
İZMİR,MENDERES,-,161,27.137140210219,38.263150019427
İZMİR,MENDERES,-,9126,27.167898155795,38.202943366289
İZMİR,MENDERES,-,DEREKÖY,27.116046344393,38.246787083232
İZMİR,MENDERES,-,ÇETİN YETİŞTİREN,27.097344812775,38.0233792393
İZMİR,MENDERES,-,3009,27.123718905464,38.012938179402
İZMİR,MENDERES,-,KÜNER,27.123056834941,38.214053836004
İZMİR,MENDERES,-,TEPE,27.018005121652,38.079061861754
İZMİR,MENDERES,-,415,27.127373286993,38.246821094626
İZMİR,MENDERES,-,1147,27.048969007898,38.053192031178
İZMİR,MENDERES,-,1004,27.140780196146,38.260517037194
İZMİR,MENDERES,-,NAZAR BONCUĞU,27.122379903664,38.282908434067
İZMİR,MENDERES,-,4050,27.186289360067,38.023592329864
İZMİR,MENDERES,-,OVA YOLU,27.141431208086,38.251857082354
İZMİR,MENDERES,-,231,27.127736262952,38.259958026171
İZMİR,MENDERES,-,725,27.142808149367,38.264857355736
İZMİR,MENDERES,-,752,27.145135858833,38.267737122984
İZMİR,MENDERES,-,264,27.128360253536,38.263559008146
İZMİR,MENDERES,-,1024,27.1477341645,38.258574054335
İZMİR,MENDERES,-,415,27.127505286633,38.246191097632
İZMİR,MENDERES,-,ÖZTÜRKLER,27.136890239679,38.246681105538
İZMİR,MENDERES,-,29 EKİM,27.059305966651,38.046735075666
İZMİR,MENDERES,-,537,27.144921184829,38.255021070082
İZMİR,MENDERES,-,2342,27.104687786131,38.016284284303
İZMİR,MENDERES,-,537,27.145097185135,38.254433073111
İZMİR,MENDERES,-,236,27.127106266103,38.259962025736
İZMİR,MENDERES,-,CUMAOVASI,27.141005202153,38.256257059629
İZMİR,MENDERES,-,548/1,27.147469172054,38.255090072042
İZMİR,MENDERES,-,537,27.145461185243,38.253321079346
İZMİR,MENDERES,-,548,27.14726117624,38.253164082296
