il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İZMİR,MENEMEN,-,AHMET KAHRAMAN,27.110090708803,38.638018055162
İZMİR,MENEMEN,-,HATUNDERE,27.043789467556,38.700601162174
İZMİR,MENEMEN,-,ZEKERİYA TOKSUZ,26.926994795514,38.628269399219
İZMİR,MENEMEN,-,4120,26.970824368606,38.583068390656
İZMİR,MENEMEN,-,BAHÇELER,27.062639001073,38.604522176645
İZMİR,MENEMEN,-,İĞNEDERE,27.159446467222,38.65632370188
İZMİR,MENEMEN,-,SU DEPOSU YANI MEVKİİ,27.07222095134,38.605566181256
İZMİR,MENEMEN,-,9 EYLÜL KURTULUŞ,27.159115487984,38.625846168941
İZMİR,MENEMEN,-,7109,27.04691346632,38.561506305399
İZMİR,MENEMEN,-,7509/2,27.070666147728,38.577000974574
İZMİR,MENEMEN,-,ZİYA GÖKALP,27.065276976757,38.611121145653
İZMİR,MENEMEN,-,ALTUĞ KARABURUN,27.073767940846,38.607463173168
İZMİR,MENEMEN,-,ÜMİT,26.992777325137,38.616399040755
İZMİR,MENEMEN,-,İZMİR,27.066134489987,38.606978337979
İZMİR,MENEMEN,-,1402,27.067332082869,38.614147986085
İZMİR,MENEMEN,-,930 SOKAK,27.163123741716,38.612569607923
İZMİR,MENEMEN,-,FUTBOL SAHASI VE ÇEVRESİ - 9021SOKAK VE 9021/1 SOKAK ARASI,27.075583833303,38.588097863238
İZMİR,MENEMEN,-,EGEMENLİK CAD.,27.034979372467,38.685187001238
İZMİR,MENEMEN,-,ÇAMLIK ORMANLIĞI - MANİSA ASFALTI,27.112037739481,38.614324178937
İZMİR,MENEMEN,-,7526/3 SOKAK VE 7530 SOKAK ARASI,27.067759191855,38.577543861244
İZMİR,MENEMEN,-,TUZÇULLU MAH. MEYDANI,26.938842477145,38.54980451251
İZMİR,MENEMEN,-,İLKOKUL BAHÇESİ,27.216026967965,38.662993227901
İZMİR,MENEMEN,-,İLKOKUL BAHÇESİ - 5001 SOKAK,26.911804479668,38.53712176546
İZMİR,MENEMEN,-,920 SOKAK VE 928 SOKAK KESİŞİMİ,27.17895478634,38.637052679088
İZMİR,MENEMEN,-,80.YIL,27.077665913035,38.597503994948
İZMİR,MENEMEN,-,İLKOKUL BAHÇESİ - UMUT CADDESİ VE 2023 SOKAK ARASI,26.997792523602,38.568295122529
İZMİR,MENEMEN,-,DOĞA MAH. MEYDANI - 601 SOKAK,27.091703984091,38.649640980497
İZMİR,MENEMEN,-,ÇUKUR KÜMEEVLER,27.121085449731,38.697336273052
İZMİR,MENEMEN,-,1506,27.061006587865,38.598135283149
İZMİR,MENEMEN,-,İLKOKUL BAHÇESİ - 200 SOKAK,27.025204648233,38.635618080579
İZMİR,MENEMEN,-,80. YIL ASARLIK ORTAOKULU,27.0926128879,38.584099312424
İZMİR,MENEMEN,-,EMİRALEM ATATÜRK ORTAOKULU,27.152498531579,38.619454194596
İZMİR,MENEMEN,-,BOZALAN MAH. 122 ADA 5 PARSEL,27.195862178234,38.701542822318
İZMİR,MENEMEN,-,SEYREK MAH. 187 ADA ALT KISMI,26.978055458621,38.582000201501
İZMİR,MENEMEN,-,ULUKENT İLKOKULU,27.036130235545,38.544871454142
İZMİR,MENEMEN,-,YANIK MAH. MEYDANI - 506 SOKAK,27.081695820079,38.65456598783
İZMİR,MENEMEN,-,5159 SOKAK VE 5161 SOKAK ARASI,26.923092702047,38.598392058519
İZMİR,MENEMEN,-,MUSABEY MAH. MEYDANI- 300 SOKAK,27.006434715837,38.636715050144
İZMİR,MENEMEN,-,KARAORMAN MAH. MEYDANI - KARAORMAN YOLU,27.231527685518,38.606324309115
İZMİR,MENEMEN,-,SEVGİ CAD„,27.062928631749,38.573125133568
İZMİR,MENEMEN,-,İLKÖĞRETİM OKULU BAHÇESİ,27.200964816537,38.619695398181
İZMİR,MENEMEN,-,251,27.036235085357,38.539886997379
İZMİR,MENEMEN,-,ÇINARLIKUYU CD. - IKiz MEZAR SK KESİŞİMİ,27.136695604617,38.622346163764
İZMİR,MENEMEN,-,7611,27.042743238786,38.538966260549
İZMİR,MENEMEN,-,ASARLIK 125. YIL İLKÖĞRETİM OKULU,27.083695938732,38.580299322645
İZMİR,MENEMEN,-,TOKİ AHISKAKENT İLKOKULU,27.061221082877,38.56138539606
İZMİR,MENEMEN,-,ÇALTI MAH. GiRişi,27.227778563944,38.620378227589
İZMİR,MENEMEN,-,1212,27.071635007776,38.592896343932
İZMİR,MENEMEN,-,FUTBOL SAHASI - 6514 SOKAK,27.185943686929,38.613663430165
İZMİR,MENEMEN,-,İLKÖĞRETİM OKULU BAHÇESİ ÇANAKKALE ASFALTI,27.025499182539,38.665792025673
İZMİR,MENEMEN,-,43 SOKAK VE 43/1 SOKAK KESİŞİMİ,26.909019025782,38.628926369117
İZMİR,MENEMEN,-,23 NİSAN,27.148123053307,38.626054743309
İZMİR,MENEMEN,-,1252,27.08090186021,38.604463726149
İZMİR,MENEMEN,-,CUMHURİYET CAD.,27.100409657725,38.636835278845
İZMİR,MENEMEN,-,GÖRECE MAH. MEYDANI - 910 SOK. VE 914 SOKAK KESİŞİMİ,27.164953768927,38.649339756034
İZMİR,MENEMEN,-,424 SOK. VE 411 SOKAK KESİŞİMİ,27.083276024755,38.586316310343
İZMİR,MENEMEN,-,ÖZGÜRLÜK CAD. VE 5/5 SOKAK ARASI,27.03058672411,38.685167630651
İZMİR,MENEMEN,-,İLKOKUL BAHÇESİ,27.163532438136,38.713410677839
İZMİR,MENEMEN,-,4137 SOKAK,26.980935578216,38.579434613562
İZMİR,MENEMEN,-,6223 SOKAK,27.205980672319,38.607268135573
