il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İZMİR,NARLIDERE,-,KAYHAN,27.011945454919,38.392241749422
İZMİR,NARLIDERE,-,GÖKKUŞAĞI,27.016310505276,38.382942237133
İZMİR,NARLIDERE,-,MADALYON,26.924837159057,38.381005119885
İZMİR,NARLIDERE,-,TAYLAN,27.006413472141,38.395459054818
İZMİR,NARLIDERE,-,GAZETECİ FEVZİ YILMAZ,27.018739502778,38.394062506977
İZMİR,NARLIDERE,-,MİTHATPAŞA,27.000277670654,38.395844184205
İZMİR,NARLIDERE,-,AHMET TANER KIŞLALI,26.997145842317,38.394958016087
İZMİR,NARLIDERE,-,BÜŞRA,27.00666120414,38.407009098034
İZMİR,NARLIDERE,-,MUSTAFA KEMAL SAHİL,27.002328551875,38.396974904458
İZMİR,NARLIDERE,-,NAR,26.988132700174,38.399518477445
İZMİR,NARLIDERE,-,AÇELYAM,26.991606246521,38.393576997107
İZMİR,NARLIDERE,-,ÖZYUVA,27.0069384425,38.391064023741
İZMİR,NARLIDERE,-,ÖZYUVA,27.008089215196,38.391138669817
İZMİR,NARLIDERE,-,İLHAN SELÇUK,26.991110718219,38.395011179041
İZMİR,NARLIDERE,-,ERİŞ,26.990584975045,38.394467806477
İZMİR,NARLIDERE,-,MUSTAFA KEMAL SAHİL,27.005486976198,38.397070468848
İZMİR,NARLIDERE,-,ŞAİR CAN YÜCEL,27.009040916624,38.406766102037
İZMİR,NARLIDERE,-,YAPICILAR,26.992020381343,38.395678557771
İZMİR,NARLIDERE,-,TÜLAY AKTAŞ,27.004120951562,38.396819222028
İZMİR,NARLIDERE,-,ÇAĞATAY,27.007495828116,38.392629434943
İZMİR,NARLIDERE,-,TOLGA,26.924791069814,38.382955170326
İZMİR,NARLIDERE,-,ENDER,26.998054682727,38.395288185214
İZMİR,NARLIDERE,-,ARDIÇ,27.021844595404,38.395137209013
İZMİR,NARLIDERE,-,DUMLUPINAR,26.990811555397,38.401165400701
İZMİR,NARLIDERE,-,MUSTAFA KEMAL SAHİL,27.010238148136,38.396573381085
İZMİR,NARLIDERE,-,KOÇYİĞİT,27.002266667091,38.394418280738
İZMİR,NARLIDERE,-,AÇELYA,26.98972490028,38.396196257125
İZMİR,NARLIDERE,-,ZAKKUM,26.997721364723,38.394128932512
İZMİR,NARLIDERE,-,ARDIÇ,27.021829888767,38.394388095509
İZMİR,NARLIDERE,-,MÜFİT SOYLU,27.013006092587,38.408627710787
İZMİR,NARLIDERE,-,EKİN,26.996785757353,38.405443915074
İZMİR,NARLIDERE,-,ULUDAĞ,27.008615686324,38.392911243248
İZMİR,NARLIDERE,-,BAŞAK,26.926252633829,38.380412989242
İZMİR,NARLIDERE,-,HACI BEKTAŞ,26.999129632592,38.394509732894
İZMİR,NARLIDERE,-,ÇELİK,27.002615583498,38.393343696864
İZMİR,NARLIDERE,-,UYANIŞ,27.008991245571,38.392141659205
İZMİR,NARLIDERE,-,PALANDÖKEN,27.023358561663,38.392279227794
İZMİR,NARLIDERE,-,UTKU,27.007776633536,38.395288195167
İZMİR,NARLIDERE,-,BUĞDAY,26.927932643927,38.379029971069
İZMİR,NARLIDERE,-,İLHAN SELÇUK,26.990297348948,38.395644577817
İZMİR,NARLIDERE,-,DİLMAÇ,27.009039992619,38.395068304974
İZMİR,NARLIDERE,-,ZEYTİNDALI,26.998997891157,38.39190684276
İZMİR,NARLIDERE,-,NAZIM,27.004317144354,38.393551539909
İZMİR,NARLIDERE,-,GÜNGÖREN,27.009905311025,38.393945960152
İZMİR,NARLIDERE,-,PALANDÖKEN,27.0247085708,38.391884508023
İZMİR,NARLIDERE,-,SUZAN,26.988115477915,38.395618416191
İZMİR,NARLIDERE,-,DİLEK,26.927173686983,38.381424752125
İZMİR,NARLIDERE,-,MANDALİNLİK,26.98805473337,38.395011176262
İZMİR,NARLIDERE,-,TOPRAK,27.020890481953,38.392523232494
İZMİR,NARLIDERE,-,KIBRIS,26.934774245673,38.382725700404
İZMİR,NARLIDERE,-,ACAR,27.010298782585,38.391892298214
İZMİR,NARLIDERE,-,EĞİTİM,27.000682672215,38.391682737873
İZMİR,NARLIDERE,-,SÜTÇÜLER,27.011766978405,38.395678984064
İZMİR,NARLIDERE,-,SAYGIN,27.00451950907,38.392033951648
İZMİR,NARLIDERE,-,ÖKSÜZ,26.937031953189,38.381722565452
İZMİR,NARLIDERE,-,BARAN,27.012348986629,38.394515957985
İZMİR,NARLIDERE,-,ARAS,27.003016720621,38.391366776619
İZMİR,NARLIDERE,-,BAHAR,26.988753454697,38.393777437005
İZMİR,NARLIDERE,-,BODUR,27.025609268682,38.390533730418
İZMİR,NARLIDERE,-,ÇİLEK,27.002347963369,38.389661716394
İZMİR,NARLIDERE,-,BURAK,27.016762262789,38.395813866916
İZMİR,NARLIDERE,-,KANARYA,27.003731805139,38.390836813252
İZMİR,NARLIDERE,-,ALKAN,27.027676917766,38.389675014191
İZMİR,NARLIDERE,-,MANDALİNLİK,26.988855457371,38.393336896298
İZMİR,NARLIDERE,-,ÖĞRETMENLER,26.992984117186,38.393305038933
İZMİR,NARLIDERE,-,KAZANÇOĞLU,27.006155303616,38.38975581372
