il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İZMİR,SELÇUK,-,1038,27.369198553689,37.946613924009
İZMİR,SELÇUK,-,2035,27.371113674878,37.95674621532
İZMİR,SELÇUK,-,BARUTÇU ATATÜRK,27.326711853474,38.012523259483
İZMİR,SELÇUK,-,ZEYTİNKÖY MAHALLESİ 132 PARSEL,27.283398917089,37.991913597635
İZMİR,SELÇUK,-,OKUL SOKAK NO:2,27.362898635743,37.915114085603
İZMİR,SELÇUK,-,KAYSERKAYA,27.43164271268,37.944793127681
İZMİR,SELÇUK,-,506 SOKAK,27.416634410888,37.883392307977
İZMİR,SELÇUK,-,KUBİLAY CAD.,27.368845559526,37.943761938796
İZMİR,SELÇUK,-,3016 SOKAK VE 3026 SOKAK ARASI,27.37435466966,37.954453527227
İZMİR,SELÇUK,-,SULTANİYE MAH. MEYDANI - EYİCE SOKAK,27.335784814507,37.882495789749
İZMİR,SELÇUK,-,ÇAMLIK ATATÜRK CAD.,27.380196594062,37.885670259451
İZMİR,SELÇUK,-,640 SOKAK VE 641 SOKAK ARASI,27.382815331236,37.838830142075
İZMİR,SELÇUK,-,ÜMİT AKOĞUL CAD.,27.44337865069,38.020319852978
İZMİR,SELÇUK,-,5028 SOKAK,27.369647561907,37.943617538201
İZMİR,SELÇUK,-,KUBİLAY CADDESİ NO:1,27.3702985467,37.946913923502
İZMİR,SELÇUK,-,TAHSİN KAYAYURT CADDESİ NO 43,27.446698049703,38.015613634975
İZMİR,SELÇUK,-,3024 SOKAK VE 3034/1 SOKAK KESİŞİMİ,27.373546695513,37.95787142398
İZMİR,SELÇUK,-,4124 SOKAK,27.381469087607,37.94307281392
İZMİR,SELÇUK,-,ATATÜRK CADDESİ NO 149,27.367698563858,37.945013930985
İZMİR,SELÇUK,-,ZAFER MAHALLESİ 3032 SOKAK NO:10,27.375198507305,37.956213879038
İZMİR,SELÇUK,-,ATATÜRK CAD.,27.372518407644,37.960175704173
İZMİR,SELÇUK,-,4044 SOKAK,27.377398694347,37.946380593999
İZMİR,SELÇUK,-,5016 SOKAK,27.37030028294,37.942696048983
İZMİR,SELÇUK,-,ATATÜRK CAD.,27.372111643004,37.956400752477
İZMİR,SELÇUK,-,4118,27.379356600992,37.94288193826
İZMİR,SELÇUK,-,ATATÜRK MAHALLESİ ŞEHABEDDİN DEDE CAD ÜZERİ PARK,27.372198537335,37.94701392458
İZMİR,SELÇUK,-,5028 SOKAK,27.370161097579,37.942533779038
İZMİR,SELÇUK,-,1084,27.364698579392,37.944813929605
İZMİR,SELÇUK,-,4017 SOKAK NO:2,27.37479852371,37.947613924503
İZMİR,SELÇUK,-,5031 SOKAK,27.36996309874,37.940722002619
İZMİR,SELÇUK,-,BELEDİYE DÜĞÜN SALONU BAHÇESİ - ATATÜRK CAD.,27.372151238433,37.957387791528
İZMİR,SELÇUK,-,1088,27.364198584751,37.942513940592
İZMİR,SELÇUK,-,5112 SOKAK ÜZERİNDEKİ PARK,27.37719852257,37.940013966848
İZMİR,SELÇUK,-,TABAK CAD. VE 2002 SOKAK KESİŞİMİ,27.372226092608,37.951582465787
İZMİR,SELÇUK,-,UĞUR MUMCU SEVGİ YOLU,27.367298560135,37.948263913118
