il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İZMİR,TİRE,-,BAŞKÖY ATATÜRK MEYDANI - BAŞKÖY CUMHURİYET SOKAK,27.659253062936,37.997687659304
İZMİR,TİRE,-,KARŞI,27.915520059578,38.098567408855
İZMİR,TİRE,-,MAHMUT AŞIK,27.732032866576,38.083518446577
İZMİR,TİRE,-,KANLIKAVAK,27.749724412082,38.086071554948
İZMİR,TİRE,-,BÜYÜKKEMERDERE TİRE,27.78962744921,38.047987579498
İZMİR,TİRE,-,MİNARE,27.925431133249,38.124830111468
İZMİR,TİRE,-,FAİK TOKLUOĞLU,27.744387569914,38.095034063083
İZMİR,TİRE,-,DOYRANLI FATİH,27.822891907262,38.178908137101
İZMİR,TİRE,-,ÇOBAN MERKEZ KÜMEEVLERİ,27.890794495044,38.087965091124
İZMİR,TİRE,-,ÇİNİYERİ MAH. MEYDANI - ŞAİR SOKAK,27.804063139673,38.08678160268
İZMİR,TİRE,-,BÜYÜKKÖMÜRCÜ CUMHURİYET SOKAK,27.759346462624,38.020236911646
İZMİR,TİRE,-,BÜYÜKKALE MAH. MEYDANI - BÜYÜKKALE CUMHURİYET SOKAK,27.558256371423,38.03350869741
İZMİR,TİRE,-,GELİNCİK PARKI - GÜVEN CAD. VE HIZIR SOKAK ARASI,27.727860059975,38.100727334509
İZMİR,TİRE,-,PAŞA MAH. 2. GAZİ C. NU:44,27.743423444135,38.08621454891
İZMİR,TİRE,-,YURT SOKAK,27.747158816949,37.984422330728
İZMİR,TİRE,-,SOMAK MAH. MEYDANI - SOMAK YENİ SOKAK,27.771218934664,37.987554974141
İZMİR,TİRE,-,OKUL BAHÇESİ VE MEYDANI - PAPATYA SOKAK,27.852167005552,38.099125703398
İZMİR,TİRE,-,SARICA YUSUF SOKAK,27.737932473302,38.084643551433
İZMİR,TİRE,-,ÇUKURKÖY MERKEZ KÜMEEVLERİ,27.698092346639,38.057578658956
İZMİR,TİRE,-,YENİÇİFTLİK MAH. MEYDANI - YENİÇİFTLİK VATAN SOKAK,27.503931950759,38.124021287386
İZMİR,TİRE,-,KENT MÜZESİ BAHÇESİ - ATATÜRK CAD.,27.731992725094,38.088982505395
İZMİR,TİRE,-,YEMİŞLER MAH. MEYDANI - YEMİŞLER MERKEZ KÜMEEVLERİ,27.680246657883,38.029586324686
