il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İZMİR,URLA,-,UZUN,26.765143431249,38.321239734907
İZMİR,URLA,-,AKDENİZ,26.791144754906,38.332434327108
İZMİR,URLA,-,CUMHURİYET,26.504089228287,38.239735081584
İZMİR,URLA,-,MUSTAFA ERCAN,26.56150483341,38.283667804474
İZMİR,URLA,-,ERDOĞAN KER,26.761979752693,38.328934624378
İZMİR,URLA,-,KEMAL TUĞRUL,26.552300008808,38.34309096564
İZMİR,URLA,-,12064,26.640729574481,38.338173090699
İZMİR,URLA,-,TOPALTI SOKAK ÜZERİ (3384/19),26.773003942225,38.320113332396
İZMİR,URLA,-,KIZIL ÇAM,26.552587424667,38.283408581344
İZMİR,URLA,-,TUTKU VE BİLGİN SOKAK ARASI,26.765646961998,38.329530275107
İZMİR,URLA,-,6076 SOKAK,26.680257985119,38.381415364662
İZMİR,URLA,-,KAVUN,26.525836927425,38.298984298217
İZMİR,URLA,-,KUŞÇULAR CAD.,26.751069065998,38.300071554855
İZMİR,URLA,-,2110,26.766863942022,38.363116461656
İZMİR,URLA,-,BARBAROS CAD.,26.57819691704,38.322357103101
İZMİR,URLA,-,13000,26.577778336861,38.426711091287
İZMİR,URLA,-,İLKOKUL BAHÇESİ - ALLI TURNA SOKAK,26.75817186331,38.326002731382
İZMİR,URLA,-,566 SOKAK,26.709330994761,38.323478598174
İZMİR,URLA,-,4238 SOKAK VE 4249 SOKAK KESİŞİMİ,26.842811474324,38.36328750251
İZMİR,URLA,-,MANOLYA SOKAK VE MERİDYEN SOKAK KESİŞİMİ,26.760109504002,38.31846381951
İZMİR,URLA,-,OVACIK CAD.,26.80597192528,38.297446975283
İZMİR,URLA,-,4108 SOKAK,26.837865361871,38.365429823814
İZMİR,URLA,-,3302 SOKAK,26.80638078902,38.353126066952
İZMİR,URLA,-,NURİ ÖZBEK CAD. VE 1056/1 SOKAK KESİŞİMİ,26.68225892649,38.309007764875
İZMİR,URLA,-,MAVİ PLAJ CAD.,26.739122269925,38.401866033629
İZMİR,URLA,-,85 SOKAK,26.748830666597,38.386788620039
İZMİR,URLA,-,10001,26.686869490536,38.228643038192
İZMİR,URLA,-,2172,26.780072766167,38.352950734564
İZMİR,URLA,-,DÜNDAR SOKAK,26.757326291862,38.324424031147
İZMİR,URLA,-,BÜLENT BARATLI BULVARI VE ZAFER CADDESİ KESİŞİMİ,26.767083966261,38.322870311274
İZMİR,URLA,-,YAĞCILAR MAH. MEYDANI - 9003 SOKAK,26.681425363123,38.258035280461
İZMİR,URLA,-,ÇİLİNGİR ÇEŞME SOKAK VE YILDIZ PARK SOKAK KESİŞİMİ,26.768825084515,38.323241443923
İZMİR,URLA,-,KIRMIZI SOKAK,26.781929341108,38.335370080402
İZMİR,URLA,-,SARGIN SOKAK,26.76913996166,38.320129328092
İZMİR,URLA,-,BADEMLER CAD. VE 15013 SOKAK KESİŞİMİ,26.831415869311,38.275884532479
İZMİR,URLA,-,KÖY İÇİ CAD. VE ÇİMEN SOKAK ARASI,26.55550465313,38.304134913233
