il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İZMİR,ÇEŞME,-,7128,26.313143319172,38.285194992372
İZMİR,ÇEŞME,-,KARAKÖY MAH. KÖYİÇİ YOLU,26.484551467611,38.274760316314
İZMİR,ÇEŞME,-,6267,26.43245608524,38.335583705101
İZMİR,ÇEŞME,-,16097,26.381854955349,38.294709022201
İZMİR,ÇEŞME,-,6099/2 SOKAK VE 6161/2 SOKAK ARASI,26.415489851686,38.317781052486
İZMİR,ÇEŞME,-,ÖREN MEVKİİ SOKAK,26.46026587113,38.317728186199
İZMİR,ÇEŞME,-,2222/1,26.326702563243,38.316933222194
İZMİR,ÇEŞME,-,4030 SOKAK,26.307367669245,38.349506127687
İZMİR,ÇEŞME,-,5194 SOKAK,26.37970064501,38.304752654387
İZMİR,ÇEŞME,-,3011 SOKAK,26.303370273594,38.335557717987
İZMİR,ÇEŞME,-,336,26.250062617038,38.280884965121
İZMİR,ÇEŞME,-,3436/1 SOKAK,26.342169116091,38.315641866842
İZMİR,ÇEŞME,-,1066,26.303962104331,38.314382881863
İZMİR,ÇEŞME,-,1049,26.308275895953,38.318898858911
İZMİR,ÇEŞME,-,2069,26.31212525614,38.32639167352
İZMİR,ÇEŞME,-,5131 SOKAK,26.362066825581,38.30505928958
İZMİR,ÇEŞME,-,37232 SOKAK,26.488572213024,38.376091973105
İZMİR,ÇEŞME,-,2250,26.336291025608,38.312130417234
İZMİR,ÇEŞME,-,4526 SOKAK,26.30407970621,38.349357806633
İZMİR,ÇEŞME,-,3211 SOKAK VE 3223 SOKAK KESİŞİMİ,26.33195334516,38.321194637654
İZMİR,ÇEŞME,-,5491 SOKAK,26.389172794406,38.319336029988
İZMİR,ÇEŞME,-,135/1,26.274940065956,38.286756507616
İZMİR,ÇEŞME,-,ATATÜRK BULVARI,26.383046336688,38.288540896669
İZMİR,ÇEŞME,-,4261 SOKAK VE 4261/1 SOKAK KESİŞİMİ,26.309634474436,38.3597417286
İZMİR,ÇEŞME,-,6459 SOKAK,26.402681200887,38.317638962166
İZMİR,ÇEŞME,-,3104 SOKAK,26.310529532787,38.327603861301
İZMİR,ÇEŞME,-,1025,26.305174533348,38.319872548833
İZMİR,ÇEŞME,-,16087,26.377141969998,38.299556991918
