il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İZMİR,ÖDEMİŞ,-,BİRGİ YOLU,28.031893783517,38.242297997452
İZMİR,ÖDEMİŞ,-,YENİ KAHVE SOKAK,28.056745025468,38.078626682351
İZMİR,ÖDEMİŞ,-,CEVİZALAN,28.119289234065,38.253727046864
İZMİR,ÖDEMİŞ,-,YENİCEKÖY,27.950044223057,38.241289192693
İZMİR,ÖDEMİŞ,-,IŞIKLAR,27.884853224602,38.224650102109
İZMİR,ÖDEMİŞ,-,KIZILCA,27.844328623472,38.297378539526
İZMİR,ÖDEMİŞ,-,SANAYİ SİTESİ ŞEREF USTA,27.966037390407,38.218346339183
İZMİR,ÖDEMİŞ,-,GERÇEKLİ,28.065936610721,38.217528932739
İZMİR,ÖDEMİŞ,-,OVACIK,28.052783368274,38.313598503266
İZMİR,ÖDEMİŞ,-,MALAZGİRT SOKAK OKUL ALANI,27.970202102967,38.230364003478
İZMİR,ÖDEMİŞ,-,ÜÇLER SOKAK,28.074635617596,38.339286417033
İZMİR,ÖDEMİŞ,-,KIRNAPÇI PARKI - MEHMET AKİF SOKAK,27.965697260333,38.232819833548
İZMİR,ÖDEMİŞ,-,OKUL BAHÇESİ - BOZCAYAKA MAH. KÜMEEVLER,27.975409663059,38.118901844254
İZMİR,ÖDEMİŞ,-,OKUL BAHÇESİ - ALAŞARLI MAH. KÜMEEVLER,28.151412996076,38.148753507875
İZMİR,ÖDEMİŞ,-,OKUL BAHÇESİ - KIZILCAAVLU SOKAK,28.151186643083,38.140183141414
İZMİR,ÖDEMİŞ,-,OKUL BAHÇESİ - KURUCUOVA MAH. KÜMEEVLER,28.087698532345,38.17792507485
İZMİR,ÖDEMİŞ,-,"ZEYTİNLİK MEVKİİ, BARIŞ CAD.",28.005079538966,38.272100843755
İZMİR,ÖDEMİŞ,-,OKUL BAHÇESİ - MESCİTLİ MAH. KÜMEEVLER,28.07418334537,38.135308785567
İZMİR,ÖDEMİŞ,-,ÖRNEK,27.962824841409,38.232902453885
İZMİR,ÖDEMİŞ,-,OKUL BAHÇESİ - GÜNEY SOKAK,27.899242417081,38.37718628886
İZMİR,ÖDEMİŞ,-,OKUL BAHÇESİ - DEMİRCİLİ SOKAK,27.905273532088,38.215977069427
İZMİR,ÖDEMİŞ,-,OKUL BAHÇESİ - YENİKÖY SOKAK,27.893541212989,38.198473081467
İZMİR,ÖDEMİŞ,-,OKUL BAHÇESİ - TÜRKÖNÜ MAH. KÜMEEVLER,28.054912829342,38.191688619765
İZMİR,ÖDEMİŞ,-,OKUL BAHÇESİ - KÖSELER MAH. KÜMEEVLER,27.887979806243,38.256203049653
İZMİR,ÖDEMİŞ,-,OKUL BAHÇESİ - MURSALLI MAH. KÜMEEVLER,27.986568313584,38.268766947007
İZMİR,ÖDEMİŞ,-,OCAKLI MAH .KÜMEEVLER,28.010494778665,38.229302125129
İZMİR,ÖDEMİŞ,-,OKUL BAHÇESİ - YEŞİLKÖY MAH. KÜMEEVLER,28.1724158743,38.137894235897
İZMİR,ÖDEMİŞ,-,OKUL BAHÇESİ - BIÇAKCI SOKAK,28.103528562307,38.070150283239
İZMİR,ÖDEMİŞ,-,ŞEHİT ŞÜKRÜ UZUN SOKAK,27.990145747861,38.234772944159
İZMİR,ÖDEMİŞ,-,OKUL BAHÇESİ - YUSUFDERE MAH. KÜMEEVLER,27.828870940596,38.219706000399
İZMİR,ÖDEMİŞ,-,MAH. MEYDANI - YILANLI MAH. KÜMEEVLER,28.124019889382,38.295473740274
İZMİR,ÖDEMİŞ,-,OKUL BAHÇESİ - ÜÇKONAK SOKAK,28.086808431079,38.248572567855
İZMİR,ÖDEMİŞ,-,BAĞLAR CAD. VE KANTARCI SOKAK ARASI,27.959761303373,38.218994882105
İZMİR,ÖDEMİŞ,-,OKUL BAHÇESİ - TEKKE MAH. KÜMEEVLER,28.063509815296,38.338277370539
İZMİR,ÖDEMİŞ,-,OKUL BAHÇESİ - KÜRE MAH. KÜMEEVLER,27.979217150064,38.063367013588
İZMİR,ÖDEMİŞ,-,MAH. MEYDANI - KUTLUBEYLER MAH. KÜMEEVLER,28.098069739112,38.24718097066
İZMİR,ÖDEMİŞ,-,ESKİ OKUL BAHÇESİ - KÖFÜNDERE MAH. KÜMEEVLER,28.158188415903,38.204600945301
İZMİR,ÖDEMİŞ,-,ESKİ OKUL BAHÇESİ - KEMER MAH. KÜMEEVLER,28.094454356154,38.285357240609
İZMİR,ÖDEMİŞ,-,SPOR SAHASI - MANOLYA SOK.,28.113486486758,38.163058097857
İZMİR,ÖDEMİŞ,-,23 NİSAN,27.820448706931,38.204443772398
İZMİR,ÖDEMİŞ,-,OKUL BAHÇESİ - OKUL SOKAK,27.954411938643,38.271030115758
İZMİR,ÖDEMİŞ,-,OKUL BAHÇESİ - CAMİÖNÜ SOKAK,28.056761904805,38.173820028652
İZMİR,ÖDEMİŞ,-,DEMİRDERE,28.002064278526,38.016164490197
İZMİR,ÖDEMİŞ,-,ULUS MEYDANI,28.144272162104,38.15333736976
İZMİR,ÖDEMİŞ,-,OKUL BAHÇESİ- BÜYÜKAVULCUK MAH. KÜMEEVLER,28.033311791405,38.231753053354
İZMİR,ÖDEMİŞ,-,BEYAZITLAR MAH. KÜMEEVLER - ÖDEMİŞ YOLU,28.038668262034,38.246336921542
İZMİR,ÖDEMİŞ,-,OKUL BAHÇESİ - ATATÜRK CAD.,27.954775162304,38.139643742573
İZMİR,ÖDEMİŞ,-,ULUS MEYDANI - TEĞMEN KALMAZ CAD.,27.977767472566,38.231164389203
İZMİR,ÖDEMİŞ,-,OKUL BAHÇESİ - ARTICAK MAH. KÜMEEVLER,28.002135282865,38.345597302586
İZMİR,ÖDEMİŞ,-,SAĞLIK CAD.,27.977896041115,38.235165392952
İZMİR,ÖDEMİŞ,-,OKUL BAHÇESİ - UZUNDERE MAH. KÜMEEVLER,28.12834866119,38.189243503593
İZMİR,ÖDEMİŞ,-,OKUL BAHÇESİ - BÜLBÜLLER MAH. KÜMEEVLER,27.836530727945,38.22822458271
İZMİR,ÖDEMİŞ,-,OKUL BAHÇESİ - PİRİNÇÇİ MAH. KÜMEEVLER,28.079317717808,38.083879085992
İZMİR,ÖDEMİŞ,-,OKUL BAHÇESİ - YOLÜSTÜ SOKAK,28.024133483511,38.209506176006
İZMİR,ÖDEMİŞ,-,OKUL BAHÇESİ - SÜLEYMANLAR MAH. KÜMEEVLER,27.855483347924,38.281303142541
İZMİR,ÖDEMİŞ,-,ÜÇ EYLÜL TEYYARE PARKI - HÜRRİYET CAD. VE MİTHATPAŞA CAD. ARASI,27.973516951479,38.228358088246
İZMİR,ÖDEMİŞ,-,OKUL BAHÇESİ - HACIHASAN MAH. KÜMEEVLER,28.077717277676,38.27568595188
İZMİR,ÖDEMİŞ,-,OKUL BAHÇESİ - SEYREKLİ MAH. KÜMEEVLER,27.916519689304,38.192589991288
İZMİR,ÖDEMİŞ,-,OKUL BAHÇESİ - BUCAK MAH. KÜMEEVLER,28.109442842583,38.231986686227
İZMİR,ÖDEMİŞ,-,MAH. MEYDANI - GÜNEY MAH. KÜMEEVLER,27.978740479372,38.016138757125
İZMİR,ÖDEMİŞ,-,FUTBOL SAHASI - HAMAM SOKAK,28.019216278587,38.109329604699
İZMİR,ÖDEMİŞ,-,OKUL BAHÇESİ - EMİRLİ SOKAK,28.119441548426,38.106349152244
İZMİR,ÖDEMİŞ,-,OKUL BAHÇESİ - KIŞLA MAH. KÜMEEVLER,28.060608865567,38.201686571249
İZMİR,ÖDEMİŞ,-,ESKİ OKUL BAHÇESİ - ŞİRİNKÖY MAH. KÜMEEVLER,27.868207137938,38.221204332729
İZMİR,ÖDEMİŞ,-,MAH. MEYDANI - KÜÇÜKÖREN MAH. KÜMEEVLER,27.994479892004,38.030155689774
İZMİR,ÖDEMİŞ,-,OKUL BAHÇESİ - DOLAYLAR MAH. KÜMEEVLER,27.986392957686,38.275464784204
İZMİR,ÖDEMİŞ,-,KAYALI SOKAK OTOPARK,27.97093810564,38.226175026335
İZMİR,ÖDEMİŞ,-,KÖY MEYDANI - SUÇIKTI MAH. KÜMEEVLER,27.893890688328,38.296254975201
İZMİR,ÖDEMİŞ,-,ESKİ OKUL BAHÇESİ - KARAKOVA MAH. KÜMEEVLER,27.940187847088,38.17431422538
İZMİR,ÖDEMİŞ,-,OKUL BAHÇESİ - HAMAM MAH. MENDEGÜME KÜMEEVLER,27.989983221167,38.012917123388
İZMİR,ÖDEMİŞ,-,OKUL BAHÇESİ - ATAMAN KÜMEEVLER - ÇAYIR SOKAK,28.009107241074,38.003505607716
İZMİR,ÖDEMİŞ,-,SEFA OTOPARKI - SEFA SOKAK,27.974242331285,38.232829560306
İZMİR,ÖDEMİŞ,-,OKUL BAHÇESİ - KAZANLI SOK.,27.940332074071,38.137776532967
İZMİR,ÖDEMİŞ,-,OKUL BAHÇESİ - YEŞİLDERE SOKAK,27.941783669634,38.367477529889
İZMİR,ÖDEMİŞ,-,OKUL BAHÇESİ - İLKKURŞUN MAH. KÜMEEVLER,27.860436923092,38.175171074836
İZMİR,ÖDEMİŞ,-,OKUL BAHÇESİ - KARADOĞAN MAH. KÜMEEVLER,27.912471226492,38.246887047349
İZMİR,ÖDEMİŞ,-,OKUL BAHÇESİ - SEKİKÖY MAH. KÜMEEVLER,27.853267240074,38.225804805815
İZMİR,ÖDEMİŞ,-,OKUL BAHÇESİ - ORDU CAD.,27.965974966372,38.227391928912
İZMİR,ÖDEMİŞ,-,OKUL BAHÇESİ - ORTAKÖY MAH. KÜMEEVLER,27.927262608472,38.252922337459
İZMİR,ÖDEMİŞ,-,MENDERES CAD.,27.979896519206,38.224449853978
İZMİR,ÖDEMİŞ,-,OKUL BAHÇESİ - KERPİÇLİK  MAH. KÜMEEVLER,27.828584974943,38.296358339022
İZMİR,ÖDEMİŞ,-,ATATÜRK CAD.,27.996981243828,38.114571074925
İZMİR,ÖDEMİŞ,-,ŞEHİT İSMAİL HAKKI BULUR SOKAK,27.983661367639,38.24662788472
İZMİR,ÖDEMİŞ,-,ATATÜRK MEYDANI - BELEDİYE SOKAK,28.065098269836,38.252995565413
İZMİR,ÖDEMİŞ,-,ÜZÜMLER,27.923563736766,38.26754130908
İZMİR,ÖDEMİŞ,-,OKUL BAHÇESİ - OĞUZLAR MAH. KÜMEEVLER,28.018564196316,38.272424905245
İZMİR,ÖDEMİŞ,-,MAH. MEYDANI - ÇOBANLAR MAH. KÜMEEVLER,27.956449044608,38.315624548021
İZMİR,ÖDEMİŞ,-,OKUL BAHÇESİ - KEMENLER MAH. KÜMEEVLER,28.086316902469,38.103050123501
İZMİR,ÖDEMİŞ,-,OKUL BAHÇESİ - ORHANGAZİ MAH. KÜMEEVLER,28.169607290189,38.163156621091
İZMİR,ÖDEMİŞ,-,KARŞIYAKA CAD.,27.973726950948,38.223778053649
İZMİR,ÖDEMİŞ,-,MAH. MEYDANI - ÇAĞLAYAN MAH. KÜMEEVLER,27.989067225128,38.282519096035
İZMİR,ÖDEMİŞ,-,OKUL BAHÇESİ - TOSUNLAR MAH. KÜMEEVLER,27.90278033781,38.285399914628
İZMİR,ÖDEMİŞ,-,OKUL BAHÇESİ - VELİLER MAH. KÜMEEVLER,27.839462428616,38.258099487281
İZMİR,ÖDEMİŞ,-,OKUL BAHÇESİ - GERELİ SOKAK,28.047507402532,38.200373342356
İZMİR,ÖDEMİŞ,-,OKUL BAHÇESİ - ÇAMLICA MAH. KÜMEEVLER,27.955555704277,38.089365743414
İZMİR,ÖDEMİŞ,-,MAH. MEYDANI - BAYIRLI MAH. BOĞAZ KÜMEEVLER,28.034136081532,38.355109066084
İZMİR,ÖDEMİŞ,-,DİKMEN CAD.,27.96367902134,38.229676250295
İZMİR,ÖDEMİŞ,-,SAĞLIK CAD.PARK,27.981143042555,38.235022989892
İZMİR,ÖDEMİŞ,-,KÖSELER,27.88729665826,38.256817108743
İZMİR,ÖDEMİŞ,-,BIÇAKÇI,28.095244828803,38.071549334962
İZMİR,ÖDEMİŞ,-,MEHMET KUTLU,27.992585747214,38.110945806132
İZMİR,ÖDEMİŞ,-,PAZAR YERİ SOKAK,28.056845867403,38.090103330939
İZMİR,ÖDEMİŞ,-,ŞEHİT ÖZPOLAT,27.97649008408,38.222221052306
İZMİR,ÖDEMİŞ,-,ŞEHİT TURAN EMEKSİZ,27.994827981443,38.231019022428
İZMİR,ÖDEMİŞ,-,BOZDAĞ,27.969376099341,38.23557497562
İZMİR,ÖDEMİŞ,-,KÜÇÜKÖREN,27.994055282574,38.025786097168
İZMİR,ÖDEMİŞ,-,KANAL,27.937652202249,38.271668759133
İZMİR,ÖDEMİŞ,-,GÖLCÜK YAYLASI PARK VE ÇOCUK BAHÇESİ - SARAÇOĞLU CAD.,28.028188415095,38.323969024064
İZMİR,ÖDEMİŞ,-,YOLÜSTÜ MAH.YOLÜSTÜ KÜME EVLERİ,28.026834852783,38.211317154342
İZMİR,ÖDEMİŞ,-,OVAKENT MAH.MEHMET OVAKENT CADDESİ,28.019934036021,38.10808968753
İZMİR,ÖDEMİŞ,-,OCAKLI MAH .KÜMEEVLERİ,28.010436908368,38.228526049916
İZMİR,ÖDEMİŞ,-,KOCA MEZAR,27.879818506582,38.258492774479
İZMİR,ÖDEMİŞ,-,KAYMAKÇİ MAH.SANAT SOKAK,28.115334315329,38.169492432585
İZMİR,ÖDEMİŞ,-,23 NİSAN,27.829333839431,38.203128016112
İZMİR,ÖDEMİŞ,-,UMURBEY CAD.,28.060602549179,38.250722726222
İZMİR,ÖDEMİŞ,-,PARK SOKAK PARK,27.959235166285,38.223835027793
İZMİR,ÖDEMİŞ,-,ASLAN SOKAK PARK,27.959354154725,38.23143098807
İZMİR,ÖDEMİŞ,-,1078,27.989504987326,38.244422948561
İZMİR,ÖDEMİŞ,-,GAZİ CADDESİ MEYDAN,27.969747107506,38.228973010282
